Bubble

A,w,eww,D,clickTime,currentNumberOfErrors
307.20000000000005,25.6,3,1,1.2119998931884766,1
409.6,25.6,3,1,1.1549999713897705,1
409.6,25.6,3,1,1.2900002002716064,1
307.20000000000005,25.6,3,1,1.2099997997283936,1
409.6,25.6,3,1,1.439000129699707,1
307.20000000000005,25.6,3,1,1.1689999103546143,1
204.8,25.6,3,1,1.0570001602172852,1
204.8,25.6,3,1,1.253999948501587,1
204.8,25.6,3,1,1.312999963760376,1
204.8,25.6,3,0.5,1.0880000591278076,1
409.6,25.6,3,0.5,1.2019999027252197,1
307.20000000000005,25.6,3,0.5,1.2269999980926514,1
409.6,25.6,3,0.5,1.1089999675750732,1
409.6,25.6,3,0.5,1.0260000228881836,1
204.8,25.6,3,0.5,1.190000057220459,1
307.20000000000005,25.6,3,0.5,1.1979999542236328,1
307.20000000000005,25.6,3,0.5,1.0329999923706055,1
204.8,25.6,3,0.5,1.1389999389648438,1
204.8,25.6,3,0,0.945000171661377,1
307.20000000000005,25.6,3,0,1.1549999713897705,1
204.8,25.6,3,0,1.0450000762939453,1
409.6,25.6,3,0,1.2829999923706055,1
204.8,25.6,3,0,1.0929999351501465,1
307.20000000000005,25.6,3,0,1.185999870300293,1
307.20000000000005,25.6,3,0,1.1380000114440918,1
409.6,25.6,3,0,0.9690001010894775,1
409.6,25.6,3,0,1.1419999599456787,1
307.20000000000005,25.6,2,1,0.9960000514984131,1
204.8,25.6,2,1,1.0120000839233398,1
307.20000000000005,25.6,2,1,1.0069999694824219,1
409.6,25.6,2,1,1.0779998302459717,1
409.6,25.6,2,1,1.1710000038146973,1
204.8,25.6,2,1,1.065999984741211,1
307.20000000000005,25.6,2,1,1.8040001392364502,2
409.6,25.6,2,1,1.066999912261963,2
204.8,25.6,2,1,0.999000072479248,2
204.8,25.6,2,0.5,1.1389999389648438,2
307.20000000000005,25.6,2,0.5,0.9440000057220459,2
409.6,25.6,2,0.5,1.190999984741211,2
204.8,25.6,2,0.5,1.2680001258850098,2
409.6,25.6,2,0.5,1.0499999523162842,2
204.8,25.6,2,0.5,1.2300000190734863,2
307.20000000000005,25.6,2,0.5,1.0889999866485596,2
409.6,25.6,2,0.5,1.4200000762939453,2
307.20000000000005,25.6,2,0.5,1.1589999198913574,2
409.6,25.6,2,0,1.0889999866485596,2
409.6,25.6,2,0,1.24399995803833,2
204.8,25.6,2,0,1.2990000247955322,2
307.20000000000005,25.6,2,0,1.0490000247955322,2
307.20000000000005,25.6,2,0,1.3339998722076416,2
204.8,25.6,2,0,1.005000114440918,2
409.6,25.6,2,0,1.5130000114440918,2
307.20000000000005,25.6,2,0,1.875999927520752,2
204.8,25.6,2,0,1.2309999465942383,2
204.8,25.6,1.33,1,1.6790001392364502,2
204.8,25.6,1.33,1,2.6710000038146973,2
409.6,25.6,1.33,1,2.1599998474121094,2
204.8,25.6,1.33,1,1.2080001831054688,2
307.20000000000005,25.6,1.33,1,2.371999979019165,2
307.20000000000005,25.6,1.33,1,1.4029998779296875,2
409.6,25.6,1.33,1,1.433000087738037,2
307.20000000000005,25.6,1.33,1,1.2720000743865967,2
409.6,25.6,1.33,1,2.550999879837036,2
204.8,25.6,1.33,0.5,1.5369999408721924,2
204.8,25.6,1.33,0.5,1.2400000095367432,2
307.20000000000005,25.6,1.33,0.5,1.7380001544952393,2
409.6,25.6,1.33,0.5,1.569000005722046,2
307.20000000000005,25.6,1.33,0.5,2.194000005722046,3
204.8,25.6,1.33,0.5,1.120999813079834,3
409.6,25.6,1.33,0.5,1.746000051498413,3
409.6,25.6,1.33,0.5,1.8240001201629639,3
307.20000000000005,25.6,1.33,0.5,1.6480000019073486,3
204.8,25.6,1.33,0,1.2079999446868896,3
307.20000000000005,25.6,1.33,0,3.734999895095825,3
307.20000000000005,25.6,1.33,0,1.3430001735687256,3
409.6,25.6,1.33,0,1.625,3
204.8,25.6,1.33,0,1.5649998188018799,3
307.20000000000005,25.6,1.33,0,1.3619999885559082,3
409.6,25.6,1.33,0,1.3250000476837158,3
409.6,25.6,1.33,0,1.6749999523162842,3
204.8,25.6,1.33,0,1.50600004196167,3
307.20000000000005,19.200000000000003,3,1,1.4170000553131104,3
204.8,19.200000000000003,3,1,1.0720000267028809,3
409.6,19.200000000000003,3,1,1.4709999561309814,3
204.8,19.200000000000003,3,1,1.0729999542236328,3
307.20000000000005,19.200000000000003,3,1,1.2980000972747803,3
307.20000000000005,19.200000000000003,3,1,1.3680000305175781,3
204.8,19.200000000000003,3,1,1.0759999752044678,3
409.6,19.200000000000003,3,1,1.1689999103546143,3
409.6,19.200000000000003,3,1,1.4539999961853027,3
204.8,19.200000000000003,3,0.5,1.2990000247955322,3
307.20000000000005,19.200000000000003,3,0.5,1.0339999198913574,3
307.20000000000005,19.200000000000003,3,0.5,1.1150000095367432,3
409.6,19.200000000000003,3,0.5,1.068000078201294,3
204.8,19.200000000000003,3,0.5,1.133000135421753,3
204.8,19.200000000000003,3,0.5,1.429999828338623,3
307.20000000000005,19.200000000000003,3,0.5,1.2160000801086426,3
409.6,19.200000000000003,3,0.5,1.3259999752044678,3
409.6,19.200000000000003,3,0.5,1.1779999732971191,3
204.8,19.200000000000003,3,0,1.0789999961853027,3
204.8,19.200000000000003,3,0,1.0810000896453857,3
409.6,19.200000000000003,3,0,1.378999948501587,3
307.20000000000005,19.200000000000003,3,0,1.1570000648498535,3
409.6,19.200000000000003,3,0,1.4010000228881836,3
307.20000000000005,19.200000000000003,3,0,1.1489999294281006,3
204.8,19.200000000000003,3,0,1.0209999084472656,3
409.6,19.200000000000003,3,0,1.2829999923706055,3
307.20000000000005,19.200000000000003,3,0,1.1030001640319824,3
409.6,19.200000000000003,2,1,1.2049999237060547,3
409.6,19.200000000000003,2,1,1.3610000610351562,3
307.20000000000005,19.200000000000003,2,1,1.2029998302459717,3
307.20000000000005,19.200000000000003,2,1,1.0900001525878906,3
204.8,19.200000000000003,2,1,1.2739999294281006,3
307.20000000000005,19.200000000000003,2,1,1.1019999980926514,3
409.6,19.200000000000003,2,1,1.3600001335144043,3
204.8,19.200000000000003,2,1,1.2529997825622559,3
204.8,19.200000000000003,2,1,1.0260000228881836,3
409.6,19.200000000000003,2,0.5,1.1610000133514404,3
409.6,19.200000000000003,2,0.5,1.2810001373291016,3
204.8,19.200000000000003,2,0.5,1.0499999523162842,3
307.20000000000005,19.200000000000003,2,0.5,1.059000015258789,3
307.20000000000005,19.200000000000003,2,0.5,1.2000000476837158,3
204.8,19.200000000000003,2,0.5,0.9900000095367432,3
409.6,19.200000000000003,2,0.5,1.3329999446868896,3
307.20000000000005,19.200000000000003,2,0.5,1.0820000171661377,3
204.8,19.200000000000003,2,0.5,1.2879998683929443,3
409.6,19.200000000000003,2,0,1.5260000228881836,3
204.8,19.200000000000003,2,0,1.1740000247955322,3
307.20000000000005,19.200000000000003,2,0,1.1119999885559082,3
204.8,19.200000000000003,2,0,2.4170000553131104,4
409.6,19.200000000000003,2,0,1.7160000801086426,4
409.6,19.200000000000003,2,0,1.7409999370574951,4
307.20000000000005,19.200000000000003,2,0,1.678999900817871,4
204.8,19.200000000000003,2,0,1.4750001430511475,4
307.20000000000005,19.200000000000003,2,0,1.623999834060669,4
204.8,19.200000000000003,1.33,1,1.439000129699707,4
409.6,19.200000000000003,1.33,1,2.7809998989105225,4
307.20000000000005,19.200000000000003,1.33,1,1.8250000476837158,4
409.6,19.200000000000003,1.33,1,1.5450000762939453,4
204.8,19.200000000000003,1.33,1,1.5439999103546143,4
204.8,19.200000000000003,1.33,1,1.2060000896453857,4
307.20000000000005,19.200000000000003,1.33,1,1.5219998359680176,4
307.20000000000005,19.200000000000003,1.33,1,1.9130001068115234,4
409.6,19.200000000000003,1.33,1,1.559000015258789,4
307.20000000000005,19.200000000000003,1.33,0.5,1.9660000801086426,5
409.6,19.200000000000003,1.33,0.5,1.5369999408721924,5
204.8,19.200000000000003,1.33,0.5,1.2379999160766602,5
409.6,19.200000000000003,1.33,0.5,1.5440001487731934,5
307.20000000000005,19.200000000000003,1.33,0.5,1.4529998302459717,5
204.8,19.200000000000003,1.33,0.5,1.2280001640319824,5
409.6,19.200000000000003,1.33,0.5,1.9089999198913574,5
