Normal

A,w,eww,D,clickTime,currentNumberOfErrors
409.6,25.6,3,1,2.309999942779541,2
409.6,25.6,3,1,1.4620001316070557,2
409.6,25.6,3,1,2.1989998817443848,2
307.20000000000005,25.6,3,1,1.9560000896453857,2
204.8,25.6,3,1,1.566999912261963,2
307.20000000000005,25.6,3,1,2.625,4
204.8,25.6,3,1,1.2990000247955322,4
204.8,25.6,3,1,2.691999912261963,4
307.20000000000005,25.6,3,1,1.6850001811981201,4
307.20000000000005,25.6,3,0.5,2.128999948501587,4
307.20000000000005,25.6,3,0.5,1.4500000476837158,4
204.8,25.6,3,0.5,1.364999771118164,4
409.6,25.6,3,0.5,1.2950000762939453,4
409.6,25.6,3,0.5,1.440999984741211,4
409.6,25.6,3,0.5,1.4040000438690186,4
204.8,25.6,3,0.5,1.2060000896453857,4
307.20000000000005,25.6,3,0.5,1.2760000228881836,4
204.8,25.6,3,0.5,1.2299997806549072,4
204.8,25.6,3,0,1.252000093460083,4
409.6,25.6,3,0,2.6410000324249268,5
307.20000000000005,25.6,3,0,1.7609999179840088,5
307.20000000000005,25.6,3,0,0.9530000686645508,5
409.6,25.6,3,0,1.2660000324249268,5
307.20000000000005,25.6,3,0,1.5759999752044678,5
409.6,25.6,3,0,1.5360000133514404,5
204.8,25.6,3,0,1.5160000324249268,5
204.8,25.6,3,0,1.1519999504089355,5
204.8,25.6,2,1,1.0740001201629639,5
204.8,25.6,2,1,1.1729998588562012,5
307.20000000000005,25.6,2,1,1.6440000534057617,5
409.6,25.6,2,1,1.6019999980926514,5
204.8,25.6,2,1,0.8870000839233398,5
409.6,25.6,2,1,1.372999906539917,5
409.6,25.6,2,1,2.136000156402588,6
307.20000000000005,25.6,2,1,1.6429998874664307,6
307.20000000000005,25.6,2,1,1.3940000534057617,6
409.6,25.6,2,0.5,1.4700000286102295,6
409.6,25.6,2,0.5,1.5979998111724854,6
204.8,25.6,2,0.5,1.4760000705718994,6
409.6,25.6,2,0.5,1.4270000457763672,6
307.20000000000005,25.6,2,0.5,1.437000036239624,6
204.8,25.6,2,0.5,2.0859999656677246,8
204.8,25.6,2,0.5,1.1549999713897705,8
307.20000000000005,25.6,2,0.5,1.6500000953674316,8
307.20000000000005,25.6,2,0.5,1.3359999656677246,8
409.6,25.6,2,0,1.371000051498413,8
307.20000000000005,25.6,2,0,1.319000005722046,8
204.8,25.6,2,0,1.2089998722076416,8
204.8,25.6,2,0,1.252000093460083,8
409.6,25.6,2,0,1.2079999446868896,8
409.6,25.6,2,0,1.2309999465942383,8
204.8,25.6,2,0,1.2799999713897705,8
307.20000000000005,25.6,2,0,1.0720000267028809,8
307.20000000000005,25.6,2,0,1.3010001182556152,8
204.8,25.6,1.33,1,1.0130000114440918,8
307.20000000000005,25.6,1.33,1,1.3269999027252197,8
409.6,25.6,1.33,1,1.2990000247955322,9
204.8,25.6,1.33,1,1.2420001029968262,9
307.20000000000005,25.6,1.33,1,2.0289998054504395,9
307.20000000000005,25.6,1.33,1,1.1779999732971191,9
409.6,25.6,1.33,1,1.9100000858306885,9
204.8,25.6,1.33,1,1.3420000076293945,9
409.6,25.6,1.33,1,1.4230000972747803,9
