Normal

A,w,eww,D,clickTime,currentNumberOfErrors
409.6,25.6,3,1,2.6619999408721924,1
204.8,25.6,3,1,0.997999906539917,1
307.20000000000005,25.6,3,1,1.1100001335144043,1
204.8,25.6,3,1,1.1679999828338623,1
204.8,25.6,3,1,1.0950000286102295,1
307.20000000000005,25.6,3,1,1.1559998989105225,1
409.6,25.6,3,1,1.184999942779541,1
307.20000000000005,25.6,3,1,1.2160000801086426,1
409.6,25.6,3,1,1.5290000438690186,1
307.20000000000005,25.6,3,0.5,0.935999870300293,1
409.6,25.6,3,0.5,1.1780002117156982,1
307.20000000000005,25.6,3,0.5,1.7619998455047607,1
204.8,25.6,3,0.5,1.0740001201629639,1
409.6,25.6,3,0.5,1.0260000228881836,1
204.8,25.6,3,0.5,0.9759998321533203,1
307.20000000000005,25.6,3,0.5,1.4620001316070557,1
204.8,25.6,3,0.5,0.9759998321533203,1
409.6,25.6,3,0.5,1.2000000476837158,1
409.6,25.6,3,0,0.9800000190734863,2
204.8,25.6,3,0,1.374000072479248,2
307.20000000000005,25.6,3,0,1.2829999923706055,3
307.20000000000005,25.6,3,0,1.1770000457763672,3
204.8,25.6,3,0,1.7999999523162842,3
409.6,25.6,3,0,1.6180000305175781,5
307.20000000000005,25.6,3,0,1.1340000629425049,5
409.6,25.6,3,0,1.0739998817443848,5
204.8,25.6,3,0,0.9739999771118164,5
409.6,25.6,2,1,1.1640000343322754,5
307.20000000000005,25.6,2,1,1.2660000324249268,5
204.8,25.6,2,1,0.9619998931884766,5
409.6,25.6,2,1,1.1770000457763672,5
204.8,25.6,2,1,1.0350000858306885,5
204.8,25.6,2,1,0.9939999580383301,5
307.20000000000005,25.6,2,1,1.0429999828338623,5
307.20000000000005,25.6,2,1,1.1410000324249268,5
409.6,25.6,2,1,0.9570000171661377,5
204.8,25.6,2,0.5,2.131999969482422,7
409.6,25.6,2,0.5,0.9980001449584961,7
204.8,25.6,2,0.5,0.9010000228881836,7
307.20000000000005,25.6,2,0.5,1.2289998531341553,7
204.8,25.6,2,0.5,1.0199999809265137,7
409.6,25.6,2,0.5,1.184000015258789,7
409.6,25.6,2,0.5,1.2070000171661377,7
307.20000000000005,25.6,2,0.5,0.9760000705718994,7
307.20000000000005,25.6,2,0.5,1.1619999408721924,7
409.6,25.6,2,0,0.9769999980926514,7
409.6,25.6,2,0,1.130000114440918,7
204.8,25.6,2,0,0.9229998588562012,7
204.8,25.6,2,0,1.0199999809265137,7
307.20000000000005,25.6,2,0,0.9079999923706055,7
409.6,25.6,2,0,1.1700000762939453,7
307.20000000000005,25.6,2,0,1.0859999656677246,7
307.20000000000005,25.6,2,0,1.059999942779541,7
204.8,25.6,2,0,1.0069999694824219,7
204.8,25.6,1.33,1,1.0430002212524414,7
204.8,25.6,1.33,1,1.0799999237060547,7
409.6,25.6,1.33,1,1.3269999027252197,7
307.20000000000005,25.6,1.33,1,1.4620001316070557,7
409.6,25.6,1.33,1,1.0349998474121094,7
409.6,25.6,1.33,1,1.062999963760376,7
204.8,25.6,1.33,1,0.7549998760223389,7
307.20000000000005,25.6,1.33,1,1.0069999694824219,7
307.20000000000005,25.6,1.33,1,0.8300001621246338,7
307.20000000000005,25.6,1.33,0.5,1.2249999046325684,8
409.6,25.6,1.33,0.5,1.1000001430511475,8
307.20000000000005,25.6,1.33,0.5,1.0529999732971191,8
204.8,25.6,1.33,0.5,1.1539998054504395,8
409.6,25.6,1.33,0.5,0.9830000400543213,8
409.6,25.6,1.33,0.5,1.2009999752044678,8
204.8,25.6,1.33,0.5,1.0099999904632568,8
