Normal

A,w,eww,D,clickTime,currentNumberOfErrors
307.20000000000005,25.6,3,1,1.5840001106262207,2
307.20000000000005,25.6,3,1,1.6499998569488525,3
204.8,25.6,3,1,3.072000026702881,4
204.8,25.6,3,1,1.5399999618530273,4
409.6,25.6,3,1,1.6070001125335693,4
204.8,25.6,3,1,1.13100004196167,4
409.6,25.6,3,1,1.6499998569488525,4
409.6,25.6,3,1,1.3440001010894775,4
307.20000000000005,25.6,3,1,1.6180000305175781,4
204.8,25.6,3,0.5,1.1610000133514404,4
409.6,25.6,3,0.5,1.2849998474121094,4
307.20000000000005,25.6,3,0.5,1.7840001583099365,4
409.6,25.6,3,0.5,1.3259999752044678,4
204.8,25.6,3,0.5,1.7829999923706055,4
409.6,25.6,3,0.5,2.1410000324249268,4
307.20000000000005,25.6,3,0.5,2.309000015258789,5
307.20000000000005,25.6,3,0.5,1.3359999656677246,5
204.8,25.6,3,0.5,1.2000000476837158,5
409.6,25.6,3,0,1.429999828338623,5
204.8,25.6,3,0,1.448000192642212,5
307.20000000000005,25.6,3,0,1.0259997844696045,5
409.6,25.6,3,0,1.5240001678466797,5
204.8,25.6,3,0,1.2309999465942383,5
409.6,25.6,3,0,1.559000015258789,5
204.8,25.6,3,0,1.6749999523162842,5
307.20000000000005,25.6,3,0,0.9820001125335693,5
307.20000000000005,25.6,3,0,1.2819998264312744,5
307.20000000000005,25.6,2,1,1.005000114440918,5
307.20000000000005,25.6,2,1,1.4149999618530273,5
409.6,25.6,2,1,0.931999921798706,5
307.20000000000005,25.6,2,1,1.0960001945495605,5
204.8,25.6,2,1,0.9909999370574951,5
409.6,25.6,2,1,1.6319999694824219,5
409.6,25.6,2,1,1.11899995803833,5
204.8,25.6,2,1,1.0880000591278076,5
204.8,25.6,2,1,1.2799999713897705,5
409.6,25.6,2,0.5,1.8540000915527344,6
409.6,25.6,2,0.5,1.4110000133514404,6
307.20000000000005,25.6,2,0.5,1.125999927520752,6
204.8,25.6,2,0.5,1.2409999370574951,6
204.8,25.6,2,0.5,1.2769999504089355,6
204.8,25.6,2,0.5,1.059000015258789,6
307.20000000000005,25.6,2,0.5,3.9650001525878906,6
409.6,25.6,2,0.5,1.5909998416900635,6
307.20000000000005,25.6,2,0.5,1.3029999732971191,6
409.6,25.6,2,0,1.3430001735687256,6
204.8,25.6,2,0,0.9889998435974121,6
307.20000000000005,25.6,2,0,1.2680001258850098,6
307.20000000000005,25.6,2,0,1.3869998455047607,6
409.6,25.6,2,0,1.2000000476837158,6
409.6,25.6,2,0,1.2070000171661377,6
204.8,25.6,2,0,1.0139999389648438,6
307.20000000000005,25.6,2,0,1.448000192642212,6
204.8,25.6,2,0,1.372999906539917,6
307.20000000000005,25.6,1.33,1,1.8320000171661377,6
204.8,25.6,1.33,1,1.124000072479248,6
409.6,25.6,1.33,1,1.3229999542236328,6
204.8,25.6,1.33,1,1.3259999752044678,6
307.20000000000005,25.6,1.33,1,1.0360000133514404,6
307.20000000000005,25.6,1.33,1,1.4149999618530273,6
204.8,25.6,1.33,1,1.1099998950958252,6
409.6,25.6,1.33,1,1.3360002040863037,6
409.6,25.6,1.33,1,1.2630000114440918,6
307.20000000000005,25.6,1.33,0.5,1.2869999408721924,6
409.6,25.6,1.33,0.5,1.238999843597412,6
204.8,25.6,1.33,0.5,1.0540001392364502,6
307.20000000000005,25.6,1.33,0.5,1.194000005722046,6
204.8,25.6,1.33,0.5,1.1459999084472656,6
409.6,25.6,1.33,0.5,2.9030001163482666,7
307.20000000000005,25.6,1.33,0.5,0.9470000267028809,7
204.8,25.6,1.33,0.5,0.8019998073577881,7
409.6,25.6,1.33,0.5,1.9940001964569092,8
204.8,25.6,1.33,0,1.4240000247955322,8
307.20000000000005,25.6,1.33,0,1.492999792098999,8
409.6,25.6,1.33,0,1.3420000076293945,8
307.20000000000005,25.6,1.33,0,1.246000051498413,8
409.6,25.6,1.33,0,1.2220001220703125,8
204.8,25.6,1.33,0,1.25,8
409.6,25.6,1.33,0,1.3220000267028809,8
204.8,25.6,1.33,0,1.185999870300293,8
307.20000000000005,25.6,1.33,0,1.0420000553131104,8
307.20000000000005,19.200000000000003,3,1,1.1699998378753662,8
204.8,19.200000000000003,3,1,1.0930001735687256,8
409.6,19.200000000000003,3,1,1.2819998264312744,8
409.6,19.200000000000003,3,1,1.2180001735687256,8
409.6,19.200000000000003,3,1,2.001999855041504,8
204.8,19.200000000000003,3,1,0.9670000076293945,8
307.20000000000005,19.200000000000003,3,1,1.2210001945495605,8
307.20000000000005,19.200000000000003,3,1,1.6049997806549072,8
204.8,19.200000000000003,3,1,0.9900000095367432,8
204.8,19.200000000000003,3,0.5,1.1720001697540283,8
307.20000000000005,19.200000000000003,3,0.5,1.1159999370574951,8
307.20000000000005,19.200000000000003,3,0.5,1.2149999141693115,8
204.8,19.200000000000003,3,0.5,1.3960001468658447,8
307.20000000000005,19.200000000000003,3,0.5,1.250999927520752,8
204.8,19.200000000000003,3,0.5,1.128000020980835,8
409.6,19.200000000000003,3,0.5,2.6740000247955322,9
409.6,19.200000000000003,3,0.5,1.5479998588562012,9
409.6,19.200000000000003,3,0.5,3.509999990463257,11
204.8,19.200000000000003,3,0,2.06000018119812,11
409.6,19.200000000000003,3,0,3.177999973297119,11
204.8,19.200000000000003,3,0,2.187999963760376,11
307.20000000000005,19.200000000000003,3,0,1.4739999771118164,11
409.6,19.200000000000003,3,0,1.4790000915527344,11
409.6,19.200000000000003,3,0,1.7990000247955322,11
307.20000000000005,19.200000000000003,3,0,1.2219998836517334,11
307.20000000000005,19.200000000000003,3,0,1.2300000190734863,11
204.8,19.200000000000003,3,0,1.440999984741211,11
409.6,19.200000000000003,2,1,1.4709999561309814,11
409.6,19.200000000000003,2,1,1.6990001201629639,11
204.8,19.200000000000003,2,1,1.062000036239624,11
307.20000000000005,19.200000000000003,2,1,1.2219998836517334,11
204.8,19.200000000000003,2,1,1.1400001049041748,11
204.8,19.200000000000003,2,1,1.194000005722046,11
409.6,19.200000000000003,2,1,1.6029999256134033,11
307.20000000000005,19.200000000000003,2,1,0.997999906539917,11
307.20000000000005,19.200000000000003,2,1,1.3270001411437988,11
204.8,19.200000000000003,2,0.5,1.057999849319458,11
307.20000000000005,19.200000000000003,2,0.5,0.937000036239624,11
307.20000000000005,19.200000000000003,2,0.5,1.3420000076293945,11
409.6,19.200000000000003,2,0.5,1.3580000400543213,11
204.8,19.200000000000003,2,0.5,2.364000082015991,13
204.8,19.200000000000003,2,0.5,1.0199999809265137,13
409.6,19.200000000000003,2,0.5,1.2279999256134033,13
307.20000000000005,19.200000000000003,2,0.5,1.1719999313354492,13
409.6,19.200000000000003,2,0.5,1.059000015258789,13
307.20000000000005,19.200000000000003,2,0,1.0850000381469727,13
409.6,19.200000000000003,2,0,1.686000108718872,13
409.6,19.200000000000003,2,0,1.003999948501587,13
307.20000000000005,19.200000000000003,2,0,1.4049999713897705,13
204.8,19.200000000000003,2,0,1.5820000171661377,13
204.8,19.200000000000003,2,0,1.2379999160766602,13
204.8,19.200000000000003,2,0,1.4920001029968262,13
409.6,19.200000000000003,2,0,1.2599999904632568,13
307.20000000000005,19.200000000000003,2,0,1.2030000686645508,13
204.8,19.200000000000003,1.33,1,1.1679999828338623,13
409.6,19.200000000000003,1.33,1,1.3220000267028809,13
307.20000000000005,19.200000000000003,1.33,1,1.1469998359680176,13
409.6,19.200000000000003,1.33,1,1.7020001411437988,13
307.20000000000005,19.200000000000003,1.33,1,2.234999895095825,14
204.8,19.200000000000003,1.33,1,1.1029999256134033,14
307.20000000000005,19.200000000000003,1.33,1,1.1410000324249268,14
409.6,19.200000000000003,1.33,1,1.8519999980926514,14
204.8,19.200000000000003,1.33,1,1.0310001373291016,14
409.6,19.200000000000003,1.33,0.5,1.4859998226165771,14
204.8,19.200000000000003,1.33,0.5,1.0960001945495605,14
204.8,19.200000000000003,1.33,0.5,1.056999921798706,14
307.20000000000005,19.200000000000003,1.33,0.5,1.3350000381469727,14
204.8,19.200000000000003,1.33,0.5,1.1340000629425049,14
409.6,19.200000000000003,1.33,0.5,1.2719998359680176,14
307.20000000000005,19.200000000000003,1.33,0.5,1.1180000305175781,14
307.20000000000005,19.200000000000003,1.33,0.5,1.36899995803833,14
409.6,19.200000000000003,1.33,0.5,1.7950000762939453,14
409.6,19.200000000000003,1.33,0,1.0209999084472656,14
204.8,19.200000000000003,1.33,0,1.1089999675750732,14
204.8,19.200000000000003,1.33,0,1.0329999923706055,14
307.20000000000005,19.200000000000003,1.33,0,1.1490001678466797,16
307.20000000000005,19.200000000000003,1.33,0,1.4110000133514404,16
409.6,19.200000000000003,1.33,0,1.1469998359680176,16
307.20000000000005,19.200000000000003,1.33,0,1.1399998664855957,16
409.6,19.200000000000003,1.33,0,1.2430000305175781,16
204.8,19.200000000000003,1.33,0,1.0499999523162842,16
204.8,12.8,3,1,1.6510000228881836,16
307.20000000000005,12.8,3,1,1.636000156402588,16
204.8,12.8,3,1,1.1469998359680176,16
307.20000000000005,12.8,3,1,1.433000087738037,16
409.6,12.8,3,1,1.50600004196167,16
204.8,12.8,3,1,3.875,16
307.20000000000005,12.8,3,1,1.6089999675750732,16
409.6,12.8,3,1,1.5460000038146973,16
409.6,12.8,3,1,1.3259999752044678,16
307.20000000000005,12.8,3,0.5,1.3589999675750732,16
409.6,12.8,3,0.5,1.9730000495910645,16
409.6,12.8,3,0.5,1.2969999313354492,16
204.8,12.8,3,0.5,1.4210000038146973,16
307.20000000000005,12.8,3,0.5,1.2940001487731934,16
409.6,12.8,3,0.5,3.055999994277954,17
307.20000000000005,12.8,3,0.5,1.6499998569488525,18
204.8,12.8,3,0.5,1.7869999408721924,18
204.8,12.8,3,0.5,2.0290000438690186,18
409.6,12.8,3,0,2.067000150680542,18
409.6,12.8,3,0,1.994999885559082,18
204.8,12.8,3,0,1.50600004196167,18
307.20000000000005,12.8,3,0,1.3359999656677246,18
204.8,12.8,3,0,1.193000078201294,18
204.8,12.8,3,0,1.0869998931884766,18
409.6,12.8,3,0,1.7380001544952393,18
307.20000000000005,12.8,3,0,1.2259998321533203,18
307.20000000000005,12.8,3,0,1.1500000953674316,18
204.8,12.8,2,1,1.5469999313354492,18
307.20000000000005,12.8,2,1,1.314000129699707,18
307.20000000000005,12.8,2,1,1.245999813079834,18
409.6,12.8,2,1,1.2910001277923584,18
409.6,12.8,2,1,2.3569998741149902,19
307.20000000000005,12.8,2,1,1.4000000953674316,19
204.8,12.8,2,1,1.5769999027252197,20
204.8,12.8,2,1,1.3420000076293945,20
409.6,12.8,2,1,1.062999963760376,20
307.20000000000005,12.8,2,0.5,1.1990001201629639,20
409.6,12.8,2,0.5,1.8959999084472656,21
409.6,12.8,2,0.5,1.5920000076293945,21
204.8,12.8,2,0.5,1.3580000400543213,21
409.6,12.8,2,0.5,1.2230000495910645,21
307.20000000000005,12.8,2,0.5,1.251000165939331,21
204.8,12.8,2,0.5,1.05899977684021,21
204.8,12.8,2,0.5,2.116000175476074,22
307.20000000000005,12.8,2,0.5,1.7879998683929443,22
409.6,12.8,2,0,1.4179999828338623,22
204.8,12.8,2,0,1.186000108718872,22
409.6,12.8,2,0,2.9079999923706055,23
204.8,12.8,2,0,1.3510000705718994,23
409.6,12.8,2,0,1.5399999618530273,23
307.20000000000005,12.8,2,0,1.1979999542236328,23
307.20000000000005,12.8,2,0,3.4000000953674316,25
307.20000000000005,12.8,2,0,4.994999885559082,25
204.8,12.8,2,0,2.000999927520752,25
307.20000000000005,12.8,1.33,1,3.1100001335144043,26
409.6,12.8,1.33,1,2.5269999504089355,27
307.20000000000005,12.8,1.33,1,1.5699999332427979,27
409.6,12.8,1.33,1,1.8589999675750732,27
409.6,12.8,1.33,1,2.955000162124634,29
204.8,12.8,1.33,1,3.4049999713897705,30
204.8,12.8,1.33,1,1.8880000114440918,30
204.8,12.8,1.33,1,1.680999994277954,30
307.20000000000005,12.8,1.33,1,1.7379999160766602,30
409.6,12.8,1.33,0.5,2.748000144958496,31
204.8,12.8,1.33,0.5,1.8329999446868896,31
204.8,12.8,1.33,0.5,1.6419999599456787,31
307.20000000000005,12.8,1.33,0.5,1.687999963760376,31
409.6,12.8,1.33,0.5,1.568000078201294,31
204.8,12.8,1.33,0.5,1.50600004196167,31
307.20000000000005,12.8,1.33,0.5,1.7200000286102295,31
409.6,12.8,1.33,0.5,1.4459998607635498,31
307.20000000000005,12.8,1.33,0.5,1.193000078201294,31
204.8,12.8,1.33,0,2.884999990463257,32
307.20000000000005,12.8,1.33,0,1.1319999694824219,32
409.6,12.8,1.33,0,1.6380000114440918,32
204.8,12.8,1.33,0,1.3940000534057617,33
204.8,12.8,1.33,0,1.2409999370574951,33
409.6,12.8,1.33,0,1.49399995803833,33
307.20000000000005,12.8,1.33,0,1.383000135421753,33
307.20000000000005,12.8,1.33,0,1.6079998016357422,33
