Bubble

A,w,eww,D,clickTime,currentNumberOfErrors
409.6,25.6,3,1,1.1549999713897705,1
409.6,25.6,3,1,1.1369998455047607,1
307.20000000000005,25.6,3,1,1.0970001220703125,1
204.8,25.6,3,1,0.931999921798706,1
307.20000000000005,25.6,3,1,1.1400001049041748,1
409.6,25.6,3,1,0.8059999942779541,1
204.8,25.6,3,1,1.6039998531341553,1
204.8,25.6,3,1,1.3650000095367432,1
307.20000000000005,25.6,3,1,0.8970000743865967,1
409.6,25.6,3,0.5,1.1500000953674316,1
204.8,25.6,3,0.5,1.1459999084472656,1
307.20000000000005,25.6,3,0.5,1.4070000648498535,1
307.20000000000005,25.6,3,0.5,0.9499998092651367,1
409.6,25.6,3,0.5,1.0960001945495605,1
409.6,25.6,3,0.5,0.9129998683929443,1
204.8,25.6,3,0.5,0.8650000095367432,1
204.8,25.6,3,0.5,1.059000015258789,1
307.20000000000005,25.6,3,0.5,1.1949999332427979,1
307.20000000000005,25.6,3,0,0.8450000286102295,1
307.20000000000005,25.6,3,0,0.6710000038146973,1
204.8,25.6,3,0,0.815000057220459,1
204.8,25.6,3,0,0.7409999370574951,1
409.6,25.6,3,0,0.7480001449584961,1
409.6,25.6,3,0,1.062000036239624,1
409.6,25.6,3,0,0.8279998302459717,1
204.8,25.6,3,0,1.0510001182556152,1
307.20000000000005,25.6,3,0,0.7860000133514404,1
409.6,25.6,2,1,0.8499999046325684,1
307.20000000000005,25.6,2,1,1.0450000762939453,1
204.8,25.6,2,1,1.3829998970031738,1
204.8,25.6,2,1,0.689000129699707,1
409.6,25.6,2,1,0.8499999046325684,1
307.20000000000005,25.6,2,1,0.7009999752044678,1
204.8,25.6,2,1,0.6089999675750732,1
307.20000000000005,25.6,2,1,1.059000015258789,1
409.6,25.6,2,1,0.9900000095367432,1
307.20000000000005,25.6,2,0.5,1.059000015258789,1
307.20000000000005,25.6,2,0.5,0.9520001411437988,1
204.8,25.6,2,0.5,0.7659997940063477,1
204.8,25.6,2,0.5,0.8949999809265137,1
307.20000000000005,25.6,2,0.5,0.9490001201629639,1
409.6,25.6,2,0.5,0.8210000991821289,1
409.6,25.6,2,0.5,0.8889999389648438,1
204.8,25.6,2,0.5,0.9730000495910645,1
409.6,25.6,2,0.5,1.0839998722076416,1
307.20000000000005,25.6,2,0,0.996999979019165,1
409.6,25.6,2,0,0.9590001106262207,1
409.6,25.6,2,0,1.0219998359680176,1
307.20000000000005,25.6,2,0,0.817000150680542,1
204.8,25.6,2,0,0.7799999713897705,1
307.20000000000005,25.6,2,0,0.935999870300293,1
409.6,25.6,2,0,1.5780000686645508,2
204.8,25.6,2,0,0.75,2
204.8,25.6,2,0,0.6310000419616699,2
409.6,25.6,1.33,1,1.2109999656677246,2
204.8,25.6,1.33,1,0.9890000820159912,2
307.20000000000005,25.6,1.33,1,1.113999843597412,2
307.20000000000005,25.6,1.33,1,1.0980000495910645,2
204.8,25.6,1.33,1,0.9860000610351562,2
204.8,25.6,1.33,1,0.7000000476837158,2
307.20000000000005,25.6,1.33,1,1.3239998817443848,2
409.6,25.6,1.33,1,1.2620000839233398,2
409.6,25.6,1.33,1,0.8689999580383301,2
409.6,25.6,1.33,0.5,0.7009999752044678,2
307.20000000000005,25.6,1.33,0.5,0.8600001335144043,2
409.6,25.6,1.33,0.5,1.1529998779296875,2
409.6,25.6,1.33,0.5,0.9330000877380371,2
204.8,25.6,1.33,0.5,0.8899998664855957,2
204.8,25.6,1.33,0.5,1.2870001792907715,2
307.20000000000005,25.6,1.33,0.5,1.2639999389648438,3
204.8,25.6,1.33,0.5,1.5859999656677246,3
307.20000000000005,25.6,1.33,0.5,0.818000078201294,3
307.20000000000005,25.6,1.33,0,1.6369998455047607,4
307.20000000000005,25.6,1.33,0,1.3849999904632568,4
204.8,25.6,1.33,0,1.5290000438690186,4
409.6,25.6,1.33,0,0.9140000343322754,4
204.8,25.6,1.33,0,0.8499999046325684,4
204.8,25.6,1.33,0,1.3570001125335693,4
409.6,25.6,1.33,0,1.0299999713897705,4
409.6,25.6,1.33,0,1.2780001163482666,4
307.20000000000005,25.6,1.33,0,1.0109999179840088,4
409.6,19.200000000000003,3,1,1.0499999523162842,4
409.6,19.200000000000003,3,1,1.2810001373291016,4
409.6,19.200000000000003,3,1,0.8619999885559082,4
307.20000000000005,19.200000000000003,3,1,0.9869999885559082,4
307.20000000000005,19.200000000000003,3,1,0.8439998626708984,4
307.20000000000005,19.200000000000003,3,1,0.9070000648498535,4
204.8,19.200000000000003,3,1,0.8399999141693115,4
204.8,19.200000000000003,3,1,0.8890001773834229,4
204.8,19.200000000000003,3,1,0.9479999542236328,4
409.6,19.200000000000003,3,0.5,0.7749998569488525,4
204.8,19.200000000000003,3,0.5,1.1640000343322754,4
307.20000000000005,19.200000000000003,3,0.5,0.9160001277923584,4
307.20000000000005,19.200000000000003,3,0.5,0.8589999675750732,4
204.8,19.200000000000003,3,0.5,0.7030000686645508,4
409.6,19.200000000000003,3,0.5,1.0789999961853027,4
204.8,19.200000000000003,3,0.5,0.8320000171661377,4
307.20000000000005,19.200000000000003,3,0.5,0.7669999599456787,4
409.6,19.200000000000003,3,0.5,1.1069998741149902,4
204.8,19.200000000000003,3,0,0.6760001182556152,4
409.6,19.200000000000003,3,0,0.9729998111724854,4
307.20000000000005,19.200000000000003,3,0,0.9110000133514404,4
409.6,19.200000000000003,3,0,0.9530000686645508,4
204.8,19.200000000000003,3,0,0.8270001411437988,4
409.6,19.200000000000003,3,0,0.9049999713897705,4
204.8,19.200000000000003,3,0,0.7269999980926514,4
307.20000000000005,19.200000000000003,3,0,0.8229999542236328,4
307.20000000000005,19.200000000000003,3,0,1.0420000553131104,4
307.20000000000005,19.200000000000003,2,1,1.0490000247955322,4
409.6,19.200000000000003,2,1,1.3209998607635498,4
307.20000000000005,19.200000000000003,2,1,1.0310001373291016,4
307.20000000000005,19.200000000000003,2,1,1.1329998970031738,4
204.8,19.200000000000003,2,1,0.9000000953674316,4
409.6,19.200000000000003,2,1,0.869999885559082,4
409.6,19.200000000000003,2,1,0.9549999237060547,4
204.8,19.200000000000003,2,1,1.1010000705718994,4
204.8,19.200000000000003,2,1,1.1089999675750732,4
307.20000000000005,19.200000000000003,2,0.5,2.0789999961853027,4
204.8,19.200000000000003,2,0.5,1.3070001602172852,4
409.6,19.200000000000003,2,0.5,1.5199999809265137,4
409.6,19.200000000000003,2,0.5,1.2939999103546143,4
204.8,19.200000000000003,2,0.5,2.055000066757202,4
204.8,19.200000000000003,2,0.5,1.1649999618530273,4
307.20000000000005,19.200000000000003,2,0.5,1.8420000076293945,4
409.6,19.200000000000003,2,0.5,1.5309998989105225,4
307.20000000000005,19.200000000000003,2,0.5,1.0720000267028809,4
409.6,19.200000000000003,2,0,1.1670000553131104,4
409.6,19.200000000000003,2,0,1.1670000553131104,4
307.20000000000005,19.200000000000003,2,0,0.8650000095367432,4
204.8,19.200000000000003,2,0,0.8350000381469727,4
204.8,19.200000000000003,2,0,0.7919998168945312,4
307.20000000000005,19.200000000000003,2,0,0.7960000038146973,4
204.8,19.200000000000003,2,0,0.8489999771118164,4
409.6,19.200000000000003,2,0,0.9869999885559082,4
307.20000000000005,19.200000000000003,2,0,1.4280002117156982,4
307.20000000000005,19.200000000000003,1.33,1,1.2249999046325684,4
204.8,19.200000000000003,1.33,1,1.7130000591278076,5
204.8,19.200000000000003,1.33,1,1.0820000171661377,5
307.20000000000005,19.200000000000003,1.33,1,1.2990000247955322,5
409.6,19.200000000000003,1.33,1,1.3569998741149902,5
307.20000000000005,19.200000000000003,1.33,1,1.5789999961853027,5
409.6,19.200000000000003,1.33,1,1.7750000953674316,5
409.6,19.200000000000003,1.33,1,1.1439998149871826,5
204.8,19.200000000000003,1.33,1,1.698000192642212,5
204.8,19.200000000000003,1.33,0.5,1.0139999389648438,5
409.6,19.200000000000003,1.33,0.5,1.2390000820159912,5
307.20000000000005,19.200000000000003,1.33,0.5,1.554999828338623,7
307.20000000000005,19.200000000000003,1.33,0.5,1.8370001316070557,7
204.8,19.200000000000003,1.33,0.5,1.49399995803833,7
409.6,19.200000000000003,1.33,0.5,0.9010000228881836,7
204.8,19.200000000000003,1.33,0.5,1.0169999599456787,7
307.20000000000005,19.200000000000003,1.33,0.5,1.0810000896453857,7
409.6,19.200000000000003,1.33,0.5,1.4799997806549072,7
307.20000000000005,19.200000000000003,1.33,0,1.7890000343322754,7
204.8,19.200000000000003,1.33,0,0.9850001335144043,7
409.6,19.200000000000003,1.33,0,0.9129998683929443,7
307.20000000000005,19.200000000000003,1.33,0,0.8280000686645508,7
204.8,19.200000000000003,1.33,0,1.5350000858306885,7
204.8,19.200000000000003,1.33,0,1.4099998474121094,7
409.6,19.200000000000003,1.33,0,0.940000057220459,7
307.20000000000005,19.200000000000003,1.33,0,2.3359999656677246,8
409.6,19.200000000000003,1.33,0,1.190999984741211,8
204.8,12.8,3,1,1.0540001392364502,8
409.6,12.8,3,1,1.1619999408721924,8
409.6,12.8,3,1,1.1619999408721924,8
307.20000000000005,12.8,3,1,0.9200000762939453,8
204.8,12.8,3,1,1.0339999198913574,8
409.6,12.8,3,1,1.308000087738037,8
307.20000000000005,12.8,3,1,1.4879999160766602,9
204.8,12.8,3,1,1.1600000858306885,9
307.20000000000005,12.8,3,1,1.1549999713897705,9
409.6,12.8,3,0.5,1.1610000133514404,9
204.8,12.8,3,0.5,1.3229999542236328,9
307.20000000000005,12.8,3,0.5,0.9300000667572021,9
307.20000000000005,12.8,3,0.5,1.616999864578247,9
204.8,12.8,3,0.5,1.3410000801086426,9
409.6,12.8,3,0.5,1.6359999179840088,9
409.6,12.8,3,0.5,1.3500001430511475,9
307.20000000000005,12.8,3,0.5,0.8769998550415039,9
204.8,12.8,3,0.5,1.1390001773834229,9
409.6,12.8,3,0,1.2079999446868896,9
409.6,12.8,3,0,1.124000072479248,9
307.20000000000005,12.8,3,0,1.1489999294281006,9
409.6,12.8,3,0,1.0839998722076416,9
204.8,12.8,3,0,1.1100001335144043,9
307.20000000000005,12.8,3,0,1.0899999141693115,9
204.8,12.8,3,0,1.5099999904632568,10
307.20000000000005,12.8,3,0,1.2400000095367432,10
204.8,12.8,3,0,1.3819999694824219,10
307.20000000000005,12.8,2,1,1.2120001316070557,10
204.8,12.8,2,1,1.375999927520752,10
307.20000000000005,12.8,2,1,1.314000129699707,10
307.20000000000005,12.8,2,1,1.7989997863769531,10
409.6,12.8,2,1,1.3460001945495605,10
409.6,12.8,2,1,1.815999984741211,10
204.8,12.8,2,1,0.9259998798370361,10
204.8,12.8,2,1,1.2899999618530273,10
409.6,12.8,2,1,1.25,10
409.6,12.8,2,0.5,1.3600001335144043,10
409.6,12.8,2,0.5,1.5230000019073486,10
307.20000000000005,12.8,2,0.5,1.2790000438690186,10
307.20000000000005,12.8,2,0.5,1.319000005722046,10
204.8,12.8,2,0.5,1.055999994277954,10
307.20000000000005,12.8,2,0.5,1.178999900817871,10
409.6,12.8,2,0.5,1.3359999656677246,10
204.8,12.8,2,0.5,1.2980000972747803,10
204.8,12.8,2,0.5,0.9739999771118164,10
307.20000000000005,12.8,2,0,1.4249999523162842,10
409.6,12.8,2,0,1.314000129699707,10
307.20000000000005,12.8,2,0,1.190999984741211,10
204.8,12.8,2,0,0.9759998321533203,10
307.20000000000005,12.8,2,0,1.5069999694824219,10
204.8,12.8,2,0,0.8460001945495605,10
409.6,12.8,2,0,0.867999792098999,10
409.6,12.8,2,0,1.1160001754760742,10
204.8,12.8,2,0,1.2809998989105225,10
204.8,12.8,1.33,1,1.4930000305175781,11
204.8,12.8,1.33,1,1.315000057220459,11
409.6,12.8,1.33,1,1.9119999408721924,11
307.20000000000005,12.8,1.33,1,1.7690000534057617,11
204.8,12.8,1.33,1,1.3589999675750732,11
307.20000000000005,12.8,1.33,1,1.747999906539917,11
409.6,12.8,1.33,1,1.879000186920166,11
307.20000000000005,12.8,1.33,1,1.55899977684021,11
409.6,12.8,1.33,1,1.2690000534057617,11
409.6,12.8,1.33,0.5,2.241000175476074,12
204.8,12.8,1.33,0.5,1.5259997844696045,12
204.8,12.8,1.33,0.5,1.5180001258850098,12
307.20000000000005,12.8,1.33,0.5,1.0350000858306885,12
204.8,12.8,1.33,0.5,2.24399995803833,12
409.6,12.8,1.33,0.5,1.36899995803833,12
307.20000000000005,12.8,1.33,0.5,1.7070000171661377,12
307.20000000000005,12.8,1.33,0.5,1.872999906539917,12
409.6,12.8,1.33,0.5,1.1519999504089355,12
409.6,12.8,1.33,0,1.9150002002716064,12
307.20000000000005,12.8,1.33,0,1.316999912261963,12
307.20000000000005,12.8,1.33,0,1.0750000476837158,12
409.6,12.8,1.33,0,1.6299998760223389,12
307.20000000000005,12.8,1.33,0,1.4220001697540283,12
204.8,12.8,1.33,0,1.2219998836517334,12
204.8,12.8,1.33,0,1.2320001125335693,12
204.8,12.8,1.33,0,2.2289998531341553,12
