Normal

A,w,eww,D,clickTime,currentNumberOfErrors
409.6,25.6,3,1,1.0810000896453857,1
204.8,25.6,3,1,1.3479998111724854,2
409.6,25.6,3,1,1.1100001335144043,2
204.8,25.6,3,1,1.9559998512268066,5
204.8,25.6,3,1,1.0770001411437988,6
307.20000000000005,25.6,3,1,1.4630000591278076,6
307.20000000000005,25.6,3,1,1.310999870300293,6
409.6,25.6,3,1,1.815000057220459,6
307.20000000000005,25.6,3,1,1.2649998664855957,6
204.8,25.6,3,0.5,0.8340001106262207,6
409.6,25.6,3,0.5,1.931999921798706,6
409.6,25.6,3,0.5,0.9730000495910645,6
409.6,25.6,3,0.5,1.4950001239776611,6
204.8,25.6,3,0.5,0.9689998626708984,6
307.20000000000005,25.6,3,0.5,1.2820000648498535,6
204.8,25.6,3,0.5,1.069000005722046,6
307.20000000000005,25.6,3,0.5,1.178999900817871,6
307.20000000000005,25.6,3,0.5,0.934999942779541,6
307.20000000000005,25.6,3,0,0.9720001220703125,6
307.20000000000005,25.6,3,0,0.812000036239624,6
204.8,25.6,3,0,1.1570000648498535,6
204.8,25.6,3,0,1.2089998722076416,6
409.6,25.6,3,0,1.196000099182129,6
409.6,25.6,3,0,0.998999834060669,6
307.20000000000005,25.6,3,0,1.7650001049041748,7
409.6,25.6,3,0,1.3009998798370361,7
204.8,25.6,3,0,1.258000135421753,8
204.8,25.6,2,1,0.9509999752044678,8
409.6,25.6,2,1,0.810999870300293,8
409.6,25.6,2,1,1.0570001602172852,8
307.20000000000005,25.6,2,1,0.9649999141693115,8
409.6,25.6,2,1,0.9800000190734863,8
307.20000000000005,25.6,2,1,1.1649999618530273,8
204.8,25.6,2,1,0.8070001602172852,8
204.8,25.6,2,1,1.3859999179840088,9
307.20000000000005,25.6,2,1,0.9779999256134033,9
204.8,25.6,2,0.5,1.1419999599456787,9
204.8,25.6,2,0.5,0.999000072479248,9
307.20000000000005,25.6,2,0.5,1.1080000400543213,9
307.20000000000005,25.6,2,0.5,1.0699999332427979,9
307.20000000000005,25.6,2,0.5,1.0090000629425049,9
204.8,25.6,2,0.5,0.9619998931884766,9
409.6,25.6,2,0.5,1.511000156402588,9
409.6,25.6,2,0.5,1.122999906539917,9
409.6,25.6,2,0.5,1.4240000247955322,9
409.6,25.6,2,0,1.1630001068115234,9
204.8,25.6,2,0,1.0979998111724854,9
409.6,25.6,2,0,1.0820000171661377,9
307.20000000000005,25.6,2,0,0.945000171661377,9
409.6,25.6,2,0,0.9529998302459717,9
307.20000000000005,25.6,2,0,0.7860000133514404,9
307.20000000000005,25.6,2,0,1.0199999809265137,9
204.8,25.6,2,0,2.0329999923706055,10
204.8,25.6,2,0,1.0390000343322754,10
307.20000000000005,25.6,1.33,1,1.375,10
204.8,25.6,1.33,1,1.190000057220459,10
307.20000000000005,25.6,1.33,1,1.553999900817871,10
409.6,25.6,1.33,1,1.0889999866485596,10
409.6,25.6,1.33,1,1.2660000324249268,10
204.8,25.6,1.33,1,1.377000093460083,10
204.8,25.6,1.33,1,1.2829999923706055,11
409.6,25.6,1.33,1,1.3550000190734863,11
