Normal

A,w,eww,D,clickTime,currentNumberOfErrors
204.8,25.6,3,1,1.8329999446868896,1
204.8,25.6,3,1,1.8480000495910645,1
409.6,25.6,3,1,1.569000005722046,1
204.8,25.6,3,1,2.815999984741211,2
409.6,25.6,3,1,1.1010000705718994,2
307.20000000000005,25.6,3,1,1.0169999599456787,2
307.20000000000005,25.6,3,1,1.4159998893737793,2
307.20000000000005,25.6,3,1,1.1000001430511475,2
409.6,25.6,3,1,0.9670000076293945,2
409.6,25.6,3,0.5,2.1649999618530273,3
307.20000000000005,25.6,3,0.5,1.184000015258789,3
409.6,25.6,3,0.5,1.7339999675750732,3
307.20000000000005,25.6,3,0.5,1.6489999294281006,3
204.8,25.6,3,0.5,1.4010000228881836,3
409.6,25.6,3,0.5,1.3650000095367432,3
204.8,25.6,3,0.5,1.316999912261963,3
204.8,25.6,3,0.5,1.184000015258789,3
307.20000000000005,25.6,3,0.5,1.3489999771118164,3
204.8,25.6,3,0,1.001000165939331,3
204.8,25.6,3,0,0.8169999122619629,3
409.6,25.6,3,0,1.316999912261963,3
307.20000000000005,25.6,3,0,1.249000072479248,3
204.8,25.6,3,0,0.9330000877380371,3
409.6,25.6,3,0,1.1670000553131104,3
409.6,25.6,3,0,1.7329998016357422,3
307.20000000000005,25.6,3,0,1.1170001029968262,3
307.20000000000005,25.6,3,0,1.0339999198913574,3
204.8,25.6,2,1,1.0499999523162842,3
307.20000000000005,25.6,2,1,1.6190001964569092,3
204.8,25.6,2,1,1.0820000171661377,3
409.6,25.6,2,1,1.2159998416900635,3
409.6,25.6,2,1,0.9660000801086426,3
204.8,25.6,2,1,1.1180000305175781,3
307.20000000000005,25.6,2,1,1.3829998970031738,3
307.20000000000005,25.6,2,1,1.3350000381469727,3
409.6,25.6,2,1,0.9309999942779541,3
307.20000000000005,25.6,2,0.5,1.318000078201294,3
409.6,25.6,2,0.5,1.0139999389648438,3
307.20000000000005,25.6,2,0.5,1.068000078201294,3
409.6,25.6,2,0.5,1.0490000247955322,3
204.8,25.6,2,0.5,1.2549998760223389,3
204.8,25.6,2,0.5,1.0280001163482666,3
307.20000000000005,25.6,2,0.5,1.4179999828338623,3
409.6,25.6,2,0.5,1.182999849319458,3
204.8,25.6,2,0.5,0.9500000476837158,3
307.20000000000005,25.6,2,0,1.066999912261963,3
204.8,25.6,2,0,1.1990001201629639,3
204.8,25.6,2,0,0.8169999122619629,3
