Bubble

A,w,eww,D,clickTime,currentNumberOfErrors
307.20000000000005,25.6,3,1,0.8829998970031738,2
204.8,25.6,3,1,0.690000057220459,2
204.8,25.6,3,1,1.312000036239624,2
204.8,25.6,3,1,0.7960000038146973,2
307.20000000000005,25.6,3,1,0.9309999942779541,2
307.20000000000005,25.6,3,1,0.8009998798370361,2
409.6,25.6,3,1,0.9520001411437988,2
409.6,25.6,3,1,0.8859999179840088,2
409.6,25.6,3,1,0.8940000534057617,2
307.20000000000005,25.6,3,0.5,0.7569999694824219,2
409.6,25.6,3,0.5,0.6809999942779541,2
307.20000000000005,25.6,3,0.5,0.681999921798706,2
204.8,25.6,3,0.5,0.630000114440918,2
307.20000000000005,25.6,3,0.5,0.6599998474121094,2
204.8,25.6,3,0.5,0.8340001106262207,3
409.6,25.6,3,0.5,0.8020000457763672,3
204.8,25.6,3,0.5,0.9219999313354492,3
409.6,25.6,3,0.5,0.7720000743865967,3
307.20000000000005,25.6,3,0,0.7949998378753662,4
204.8,25.6,3,0,0.7650001049041748,4
409.6,25.6,3,0,0.8499999046325684,4
204.8,25.6,3,0,0.7669999599456787,4
204.8,25.6,3,0,0.8990001678466797,4
409.6,25.6,3,0,0.7839999198913574,4
409.6,25.6,3,0,0.9240000247955322,5
307.20000000000005,25.6,3,0,0.7799999713897705,6
307.20000000000005,25.6,3,0,0.7049999237060547,6
204.8,25.6,2,1,0.7960000038146973,7
204.8,25.6,2,1,0.7560000419616699,7
204.8,25.6,2,1,0.8059999942779541,7
307.20000000000005,25.6,2,1,0.8670001029968262,7
409.6,25.6,2,1,1.0339999198913574,7
307.20000000000005,25.6,2,1,0.6230001449584961,7
409.6,25.6,2,1,0.807999849319458,8
307.20000000000005,25.6,2,1,0.8910000324249268,8
409.6,25.6,2,1,0.9049999713897705,8
204.8,25.6,2,0.5,0.9130001068115234,8
204.8,25.6,2,0.5,0.8619999885559082,8
409.6,25.6,2,0.5,0.7139999866485596,8
307.20000000000005,25.6,2,0.5,0.7730000019073486,8
409.6,25.6,2,0.5,0.8529999256134033,8
204.8,25.6,2,0.5,0.6909999847412109,8
409.6,25.6,2,0.5,0.7960000038146973,8
307.20000000000005,25.6,2,0.5,0.6719999313354492,8
307.20000000000005,25.6,2,0.5,0.8720002174377441,8
307.20000000000005,25.6,2,0,0.9739999771118164,9
307.20000000000005,25.6,2,0,0.8179998397827148,9
409.6,25.6,2,0,0.7950000762939453,9
204.8,25.6,2,0,0.7720000743865967,10
204.8,25.6,2,0,0.7869999408721924,10
409.6,25.6,2,0,1.0499999523162842,11
204.8,25.6,2,0,0.812999963760376,11
307.20000000000005,25.6,2,0,0.7669999599456787,11
409.6,25.6,2,0,1.1520001888275146,11
307.20000000000005,25.6,1.33,1,1.1480000019073486,12
409.6,25.6,1.33,1,0.8509998321533203,12
204.8,25.6,1.33,1,1.121999979019165,13
409.6,25.6,1.33,1,1.0210001468658447,14
307.20000000000005,25.6,1.33,1,0.9440000057220459,14
