Normal

A,w,eww,D,clickTime,currentNumberOfErrors
409.6,25.6,3,1,0.9129998683929443,2
409.6,25.6,3,1,1.8350000381469727,3
307.20000000000005,25.6,3,1,2.23799991607666,4
409.6,25.6,3,1,1.4560000896453857,4
204.8,25.6,3,1,1.5079998970031738,4
307.20000000000005,25.6,3,1,0.8340001106262207,4
204.8,25.6,3,1,1.253999948501587,4
204.8,25.6,3,1,0.876000165939331,4
307.20000000000005,25.6,3,1,1.1449999809265137,4
204.8,25.6,3,0.5,1.062999963760376,4
409.6,25.6,3,0.5,1.1440000534057617,4
307.20000000000005,25.6,3,0.5,1.239999771118164,4
409.6,25.6,3,0.5,1.9700000286102295,5
204.8,25.6,3,0.5,1.1640000343322754,5
409.6,25.6,3,0.5,1.1319999694824219,5
204.8,25.6,3,0.5,1.2900002002716064,5
307.20000000000005,25.6,3,0.5,1.1559998989105225,5
307.20000000000005,25.6,3,0.5,1.0940001010894775,5
409.6,25.6,3,0,1.1159999370574951,5
204.8,25.6,3,0,1.2309999465942383,5
409.6,25.6,3,0,1.0420000553131104,5
307.20000000000005,25.6,3,0,1.0759999752044678,5
307.20000000000005,25.6,3,0,0.9960000514984131,5
204.8,25.6,3,0,0.8669998645782471,5
204.8,25.6,3,0,1.2790000438690186,6
307.20000000000005,25.6,3,0,0.9860000610351562,6
409.6,25.6,3,0,0.9229998588562012,6
204.8,25.6,2,1,1.629000186920166,7
307.20000000000005,25.6,2,1,1.1569998264312744,7
307.20000000000005,25.6,2,1,1.3320000171661377,7
409.6,25.6,2,1,1.128999948501587,7
409.6,25.6,2,1,1.0180001258850098,7
204.8,25.6,2,1,1.628999948501587,7
409.6,25.6,2,1,1.5069999694824219,8
204.8,25.6,2,1,1.068000078201294,8
307.20000000000005,25.6,2,1,1.3599998950958252,8
204.8,25.6,2,0.5,1.1520001888275146,8
204.8,25.6,2,0.5,1.0739998817443848,8
409.6,25.6,2,0.5,1.0799999237060547,8
409.6,25.6,2,0.5,1.1410000324249268,8
409.6,25.6,2,0.5,1.2100000381469727,8
204.8,25.6,2,0.5,1.0490000247955322,8
307.20000000000005,25.6,2,0.5,1.0980000495910645,8
307.20000000000005,25.6,2,0.5,1.1759998798370361,8
307.20000000000005,25.6,2,0.5,0.8660001754760742,8
307.20000000000005,25.6,2,0,1.0189998149871826,8
204.8,25.6,2,0,0.9890000820159912,8
409.6,25.6,2,0,1.378999948501587,9
307.20000000000005,25.6,2,0,1.0130000114440918,9
409.6,25.6,2,0,0.8289999961853027,9
204.8,25.6,2,0,1.121999979019165,9
307.20000000000005,25.6,2,0,1.1130001544952393,9
409.6,25.6,2,0,1.0699999332427979,9
204.8,25.6,2,0,0.9470000267028809,9
409.6,25.6,1.33,1,1.0420000553131104,9
204.8,25.6,1.33,1,1.3909997940063477,10
409.6,25.6,1.33,1,1.1780002117156982,10
204.8,25.6,1.33,1,0.8879997730255127,10
307.20000000000005,25.6,1.33,1,1.0450000762939453,10
307.20000000000005,25.6,1.33,1,1.0299999713897705,10
307.20000000000005,25.6,1.33,1,0.9100000858306885,10
204.8,25.6,1.33,1,0.8849999904632568,10
409.6,25.6,1.33,1,0.8050000667572021,10
409.6,25.6,1.33,0.5,1.253999948501587,10
307.20000000000005,25.6,1.33,0.5,1.4769999980926514,10
204.8,25.6,1.33,0.5,1.3819999694824219,10
204.8,25.6,1.33,0.5,1.443000078201294,11
409.6,25.6,1.33,0.5,1.1729998588562012,11
204.8,25.6,1.33,0.5,0.9070000648498535,11
409.6,25.6,1.33,0.5,1.1600000858306885,11
307.20000000000005,25.6,1.33,0.5,1.9839999675750732,11
307.20000000000005,25.6,1.33,0.5,1.0839998722076416,11
204.8,25.6,1.33,0,0.9000000953674316,11
409.6,25.6,1.33,0,1.1600000858306885,11
307.20000000000005,25.6,1.33,0,0.9259998798370361,11
409.6,25.6,1.33,0,0.8959999084472656,11
307.20000000000005,25.6,1.33,0,1.2090001106262207,11
307.20000000000005,25.6,1.33,0,0.869999885559082,11
204.8,25.6,1.33,0,0.8900001049041748,11
204.8,25.6,1.33,0,1.0390000343322754,11
409.6,25.6,1.33,0,1.193000078201294,11
409.6,19.200000000000003,3,1,1.125,11
204.8,19.200000000000003,3,1,1.0509998798370361,11
307.20000000000005,19.200000000000003,3,1,1.6689999103546143,12
307.20000000000005,19.200000000000003,3,1,1.2130000591278076,12
204.8,19.200000000000003,3,1,1.1319999694824219,12
409.6,19.200000000000003,3,1,0.9890000820159912,12
307.20000000000005,19.200000000000003,3,1,1.7049999237060547,12
409.6,19.200000000000003,3,1,1.6770000457763672,12
204.8,19.200000000000003,3,1,1.3819999694824219,12
204.8,19.200000000000003,3,0.5,1.1119999885559082,12
307.20000000000005,19.200000000000003,3,0.5,1.2799999713897705,12
307.20000000000005,19.200000000000003,3,0.5,1.002000093460083,12
409.6,19.200000000000003,3,0.5,1.0859999656677246,12
409.6,19.200000000000003,3,0.5,1.1519999504089355,12
307.20000000000005,19.200000000000003,3,0.5,1.059000015258789,12
204.8,19.200000000000003,3,0.5,1.1130001544952393,12
409.6,19.200000000000003,3,0.5,1.2960000038146973,12
204.8,19.200000000000003,3,0.5,1.0319998264312744,12
307.20000000000005,19.200000000000003,3,0,1.0329999923706055,12
204.8,19.200000000000003,3,0,1.0850000381469727,12
307.20000000000005,19.200000000000003,3,0,0.9440000057220459,12
409.6,19.200000000000003,3,0,1.5320000648498535,13
204.8,19.200000000000003,3,0,1.0509998798370361,13
204.8,19.200000000000003,3,0,1.1640000343322754,13
409.6,19.200000000000003,3,0,0.8899998664855957,13
307.20000000000005,19.200000000000003,3,0,0.875999927520752,13
409.6,19.200000000000003,3,0,0.9130001068115234,13
307.20000000000005,19.200000000000003,2,1,1.315999984741211,13
409.6,19.200000000000003,2,1,1.3420000076293945,13
409.6,19.200000000000003,2,1,1.2100000381469727,13
307.20000000000005,19.200000000000003,2,1,1.128000020980835,13
409.6,19.200000000000003,2,1,1.4200000762939453,13
204.8,19.200000000000003,2,1,1.2569999694824219,13
204.8,19.200000000000003,2,1,1.1309998035430908,13
204.8,19.200000000000003,2,1,1.129000186920166,13
307.20000000000005,19.200000000000003,2,1,1.5509998798370361,13
307.20000000000005,19.200000000000003,2,0.5,0.9880001544952393,13
409.6,19.200000000000003,2,0.5,0.934999942779541,13
307.20000000000005,19.200000000000003,2,0.5,0.9819998741149902,13
307.20000000000005,19.200000000000003,2,0.5,1.1449999809265137,13
409.6,19.200000000000003,2,0.5,1.2870001792907715,13
409.6,19.200000000000003,2,0.5,1.5909998416900635,13
204.8,19.200000000000003,2,0.5,0.9639999866485596,13
204.8,19.200000000000003,2,0.5,1.0989999771118164,13
204.8,19.200000000000003,2,0.5,0.7710001468658447,13
409.6,19.200000000000003,2,0,0.9270000457763672,13
204.8,19.200000000000003,2,0,0.9029998779296875,13
409.6,19.200000000000003,2,0,0.8870000839233398,13
204.8,19.200000000000003,2,0,0.9309999942779541,13
409.6,19.200000000000003,2,0,1.1770000457763672,13
307.20000000000005,19.200000000000003,2,0,1.2949998378753662,13
307.20000000000005,19.200000000000003,2,0,2.059000015258789,14
