Bubble

A,w,eww,D,clickTime,currentNumberOfErrors
204.8,25.6,3,1,1.0199999809265137,1
409.6,25.6,3,1,1.2660000324249268,1
204.8,25.6,3,1,1.071000099182129,1
307.20000000000005,25.6,3,1,1.0439999103546143,1
409.6,25.6,3,1,1.438999891281128,1
307.20000000000005,25.6,3,1,1.068000078201294,1
307.20000000000005,25.6,3,1,1.0250000953674316,1
409.6,25.6,3,1,0.9739999771118164,1
204.8,25.6,3,1,0.931999921798706,1
307.20000000000005,25.6,3,0.5,1.0840001106262207,1
307.20000000000005,25.6,3,0.5,0.9340000152587891,1
409.6,25.6,3,0.5,1.0929999351501465,1
409.6,25.6,3,0.5,0.9900000095367432,1
204.8,25.6,3,0.5,1.0499999523162842,1
204.8,25.6,3,0.5,0.7939999103546143,1
409.6,25.6,3,0.5,0.9470000267028809,1
204.8,25.6,3,0.5,0.875,1
307.20000000000005,25.6,3,0.5,0.9660000801086426,1
409.6,25.6,3,0,0.7290000915527344,1
204.8,25.6,3,0,1.4479999542236328,1
204.8,25.6,3,0,1.1759998798370361,1
307.20000000000005,25.6,3,0,0.9769999980926514,1
409.6,25.6,3,0,1.2130000591278076,1
204.8,25.6,3,0,1.0190000534057617,1
409.6,25.6,3,0,1.1800000667572021,1
307.20000000000005,25.6,3,0,0.8479998111724854,1
307.20000000000005,25.6,3,0,1.071000099182129,1
307.20000000000005,25.6,2,1,0.940000057220459,1
204.8,25.6,2,1,0.9059998989105225,1
307.20000000000005,25.6,2,1,1.0799999237060547,1
409.6,25.6,2,1,1.132000207901001,2
307.20000000000005,25.6,2,1,1.815999984741211,2
204.8,25.6,2,1,0.9459998607635498,2
204.8,25.6,2,1,0.9709999561309814,2
409.6,25.6,2,1,1.0099999904632568,2
409.6,25.6,2,1,1.309000015258789,2
307.20000000000005,25.6,2,0.5,1.3580000400543213,2
204.8,25.6,2,0.5,1.5450000762939453,2
204.8,25.6,2,0.5,1.1779999732971191,2
409.6,25.6,2,0.5,1.246999979019165,2
307.20000000000005,25.6,2,0.5,0.8510000705718994,2
307.20000000000005,25.6,2,0.5,1.0299999713897705,2
409.6,25.6,2,0.5,1.3629999160766602,2
409.6,25.6,2,0.5,1.2990000247955322,2
204.8,25.6,2,0.5,1.1690001487731934,2
204.8,25.6,2,0,1.0130000114440918,2
307.20000000000005,25.6,2,0,1.0499999523162842,2
409.6,25.6,2,0,1.2269999980926514,2
409.6,25.6,2,0,1.3910000324249268,2
307.20000000000005,25.6,2,0,1.6710000038146973,2
204.8,25.6,2,0,1.0139999389648438,2
409.6,25.6,2,0,1.1749999523162842,2
204.8,25.6,2,0,0.9490001201629639,2
307.20000000000005,25.6,2,0,1.371999979019165,2
307.20000000000005,25.6,1.33,1,1.304999828338623,2
204.8,25.6,1.33,1,1.4170000553131104,2
409.6,25.6,1.33,1,1.4769999980926514,2
307.20000000000005,25.6,1.33,1,1.1630001068115234,2
409.6,25.6,1.33,1,1.4010000228881836,2
204.8,25.6,1.33,1,1.0649998188018799,2
307.20000000000005,25.6,1.33,1,1.320000171661377,2
204.8,25.6,1.33,1,1.0449998378753662,2
409.6,25.6,1.33,1,1.2699999809265137,2
409.6,25.6,1.33,0.5,1.315999984741211,2
204.8,25.6,1.33,0.5,0.9900000095367432,2
204.8,25.6,1.33,0.5,0.9090001583099365,2
409.6,25.6,1.33,0.5,1.241999864578247,2
204.8,25.6,1.33,0.5,2.4090001583099365,3
307.20000000000005,25.6,1.33,0.5,1.5,3
409.6,25.6,1.33,0.5,1.2079999446868896,3
307.20000000000005,25.6,1.33,0.5,0.9739999771118164,3
307.20000000000005,25.6,1.33,0.5,0.9839999675750732,3
204.8,25.6,1.33,0,1.2209999561309814,3
409.6,25.6,1.33,0,1.501000165939331,3
204.8,25.6,1.33,0,1.1309998035430908,3
409.6,25.6,1.33,0,1.254000186920166,3
307.20000000000005,25.6,1.33,0,1.4689998626708984,3
307.20000000000005,25.6,1.33,0,1.373000144958496,3
307.20000000000005,25.6,1.33,0,1.2960000038146973,3
409.6,25.6,1.33,0,1.4879999160766602,3
204.8,25.6,1.33,0,1.060999870300293,3
307.20000000000005,19.200000000000003,3,1,1.0150001049041748,3
307.20000000000005,19.200000000000003,3,1,1.1610000133514404,3
409.6,19.200000000000003,3,1,1.0209999084472656,3
307.20000000000005,19.200000000000003,3,1,0.8700001239776611,3
409.6,19.200000000000003,3,1,1.190000057220459,3
204.8,19.200000000000003,3,1,1.2759997844696045,3
409.6,19.200000000000003,3,1,1.0890002250671387,3
204.8,19.200000000000003,3,1,1.2069997787475586,3
204.8,19.200000000000003,3,1,1.0870001316070557,3
409.6,19.200000000000003,3,0.5,1.312999963760376,3
307.20000000000005,19.200000000000003,3,0.5,0.8840000629425049,3
409.6,19.200000000000003,3,0.5,0.937000036239624,3
204.8,19.200000000000003,3,0.5,1.2969999313354492,3
307.20000000000005,19.200000000000003,3,0.5,0.8569998741149902,3
409.6,19.200000000000003,3,0.5,1.1110000610351562,3
204.8,19.200000000000003,3,0.5,1.2420001029968262,3
307.20000000000005,19.200000000000003,3,0.5,0.9470000267028809,3
204.8,19.200000000000003,3,0.5,1.0419998168945312,3
307.20000000000005,19.200000000000003,3,0,1.2750000953674316,3
307.20000000000005,19.200000000000003,3,0,1.1549999713897705,3
204.8,19.200000000000003,3,0,1.0550000667572021,3
204.8,19.200000000000003,3,0,1.0239999294281006,3
409.6,19.200000000000003,3,0,1.25,3
307.20000000000005,19.200000000000003,3,0,1.0550000667572021,3
409.6,19.200000000000003,3,0,1.2109999656677246,3
409.6,19.200000000000003,3,0,1.0329999923706055,3
204.8,19.200000000000003,3,0,0.8570001125335693,3
409.6,19.200000000000003,2,1,1.1710000038146973,3
204.8,19.200000000000003,2,1,1.941999912261963,3
307.20000000000005,19.200000000000003,2,1,1.4249999523162842,3
409.6,19.200000000000003,2,1,1.1319999694824219,3
204.8,19.200000000000003,2,1,1.1480000019073486,3
409.6,19.200000000000003,2,1,1.2760000228881836,3
307.20000000000005,19.200000000000003,2,1,1.1370000839233398,3
204.8,19.200000000000003,2,1,1.2799999713897705,3
307.20000000000005,19.200000000000003,2,1,1.066999912261963,3
409.6,19.200000000000003,2,0.5,1.1490001678466797,3
204.8,19.200000000000003,2,0.5,0.9670000076293945,3
307.20000000000005,19.200000000000003,2,0.5,1.184000015258789,3
204.8,19.200000000000003,2,0.5,0.8999998569488525,3
204.8,19.200000000000003,2,0.5,0.9240000247955322,3
307.20000000000005,19.200000000000003,2,0.5,1.183000087738037,3
409.6,19.200000000000003,2,0.5,0.9530000686645508,3
307.20000000000005,19.200000000000003,2,0.5,1.3209998607635498,4
409.6,19.200000000000003,2,0.5,1.6110000610351562,4
204.8,19.200000000000003,2,0,1.1779999732971191,4
204.8,19.200000000000003,2,0,0.9820001125335693,4
409.6,19.200000000000003,2,0,1.1459999084472656,4
204.8,19.200000000000003,2,0,1.183000087738037,4
307.20000000000005,19.200000000000003,2,0,1.120999813079834,4
409.6,19.200000000000003,2,0,1.308000087738037,4
307.20000000000005,19.200000000000003,2,0,1.0220000743865967,4
409.6,19.200000000000003,2,0,1.1649999618530273,4
307.20000000000005,19.200000000000003,2,0,1.0899999141693115,4
204.8,19.200000000000003,1.33,1,1.50600004196167,4
307.20000000000005,19.200000000000003,1.33,1,1.1370000839233398,4
409.6,19.200000000000003,1.33,1,1.488999843597412,4
204.8,19.200000000000003,1.33,1,1.6349999904632568,4
307.20000000000005,19.200000000000003,1.33,1,1.629000186920166,4
409.6,19.200000000000003,1.33,1,5.825999975204468,4
204.8,19.200000000000003,1.33,1,1.3329999446868896,4
409.6,19.200000000000003,1.33,1,1.247999906539917,4
307.20000000000005,19.200000000000003,1.33,1,1.5340001583099365,5
204.8,19.200000000000003,1.33,0.5,2.4089999198913574,5
307.20000000000005,19.200000000000003,1.33,0.5,1.6500000953674316,5
204.8,19.200000000000003,1.33,0.5,1.687999963760376,5
204.8,19.200000000000003,1.33,0.5,1.185999870300293,5
307.20000000000005,19.200000000000003,1.33,0.5,1.0199999809265137,5
409.6,19.200000000000003,1.33,0.5,1.564000129699707,5
409.6,19.200000000000003,1.33,0.5,1.1180000305175781,5
409.6,19.200000000000003,1.33,0.5,0.9389998912811279,5
307.20000000000005,19.200000000000003,1.33,0.5,1.180999994277954,7
409.6,19.200000000000003,1.33,0,1.4010000228881836,7
204.8,19.200000000000003,1.33,0,1.1449999809265137,7
204.8,19.200000000000003,1.33,0,0.7950000762939453,7
204.8,19.200000000000003,1.33,0,2.0759999752044678,8
307.20000000000005,19.200000000000003,1.33,0,1.3849999904632568,8
409.6,19.200000000000003,1.33,0,1.3900001049041748,8
307.20000000000005,19.200000000000003,1.33,0,1.2099997997283936,8
409.6,19.200000000000003,1.33,0,1.50600004196167,8
307.20000000000005,19.200000000000003,1.33,0,2.6610000133514404,9
307.20000000000005,12.8,3,1,1.193000078201294,9
307.20000000000005,12.8,3,1,1.4029998779296875,9
409.6,12.8,3,1,0.8690001964569092,9
204.8,12.8,3,1,1.1339998245239258,9
409.6,12.8,3,1,1.4539999961853027,9
409.6,12.8,3,1,1.373000144958496,9
204.8,12.8,3,1,0.8409998416900635,9
307.20000000000005,12.8,3,1,1.315000057220459,9
204.8,12.8,3,1,1.0339999198913574,9
307.20000000000005,12.8,3,0.5,1.2160000801086426,9
409.6,12.8,3,0.5,1.375999927520752,9
204.8,12.8,3,0.5,1.065000057220459,9
204.8,12.8,3,0.5,0.9440000057220459,9
409.6,12.8,3,0.5,1.3980000019073486,9
204.8,12.8,3,0.5,1.2170000076293945,10
307.20000000000005,12.8,3,0.5,0.9790000915527344,10
409.6,12.8,3,0.5,2.0779998302459717,10
307.20000000000005,12.8,3,0.5,1.4079999923706055,10
307.20000000000005,12.8,3,0,2.1520001888275146,10
409.6,12.8,3,0,1.4819998741149902,10
307.20000000000005,12.8,3,0,1.183000087738037,10
204.8,12.8,3,0,1.1380000114440918,10
307.20000000000005,12.8,3,0,1.0130000114440918,10
204.8,12.8,3,0,1.9749999046325684,10
409.6,12.8,3,0,1.192000150680542,11
409.6,12.8,3,0,1.0920000076293945,11
204.8,12.8,3,0,1.4729998111724854,11
409.6,12.8,2,1,1.0959999561309814,11
307.20000000000005,12.8,2,1,1.2390000820159912,11
307.20000000000005,12.8,2,1,1.2020001411437988,11
307.20000000000005,12.8,2,1,1.2170000076293945,11
409.6,12.8,2,1,1.492999792098999,11
204.8,12.8,2,1,1.38100004196167,11
409.6,12.8,2,1,1.8420000076293945,11
204.8,12.8,2,1,1.2339999675750732,11
204.8,12.8,2,1,1.0320000648498535,11
307.20000000000005,12.8,2,0.5,1.499000072479248,11
409.6,12.8,2,0.5,1.2790000438690186,11
409.6,12.8,2,0.5,1.438999891281128,11
204.8,12.8,2,0.5,1.3499999046325684,11
409.6,12.8,2,0.5,1.2630000114440918,11
307.20000000000005,12.8,2,0.5,1.189000129699707,11
204.8,12.8,2,0.5,1.0959999561309814,11
204.8,12.8,2,0.5,1.2060000896453857,11
307.20000000000005,12.8,2,0.5,1.2969999313354492,11
204.8,12.8,2,0,1.690000057220459,12
307.20000000000005,12.8,2,0,1.378000020980835,12
307.20000000000005,12.8,2,0,3.494999885559082,13
409.6,12.8,2,0,1.6949999332427979,13
204.8,12.8,2,0,1.2820000648498535,13
307.20000000000005,12.8,2,0,1.1010000705718994,13
409.6,12.8,2,0,1.4789998531341553,13
204.8,12.8,2,0,1.2380001544952393,13
409.6,12.8,2,0,1.496999979019165,13
307.20000000000005,12.8,1.33,1,1.440999984741211,13
409.6,12.8,1.33,1,1.6110000610351562,13
307.20000000000005,12.8,1.33,1,1.7049999237060547,13
307.20000000000005,12.8,1.33,1,1.6389999389648438,13
204.8,12.8,1.33,1,1.3659999370574951,13
409.6,12.8,1.33,1,1.317000150680542,13
204.8,12.8,1.33,1,1.5279998779296875,14
204.8,12.8,1.33,1,1.6630001068115234,14
409.6,12.8,1.33,1,2.437000036239624,14
409.6,12.8,1.33,0.5,1.7200000286102295,14
204.8,12.8,1.33,0.5,1.561999797821045,14
307.20000000000005,12.8,1.33,0.5,1.508000135421753,14
307.20000000000005,12.8,1.33,0.5,1.4470000267028809,14
307.20000000000005,12.8,1.33,0.5,2.0329999923706055,15
204.8,12.8,1.33,0.5,1.875,15
204.8,12.8,1.33,0.5,1.8299999237060547,15
409.6,12.8,1.33,0.5,2.17900013923645,16
409.6,12.8,1.33,0.5,2.1659998893737793,16
307.20000000000005,12.8,1.33,0,2.3420000076293945,17
204.8,12.8,1.33,0,1.6470000743865967,17
204.8,12.8,1.33,0,1.9489998817443848,17
204.8,12.8,1.33,0,1.3610000610351562,17
409.6,12.8,1.33,0,1.6080000400543213,17
409.6,12.8,1.33,0,1.8299999237060547,17
307.20000000000005,12.8,1.33,0,1.3429999351501465,17
307.20000000000005,12.8,1.33,0,1.7009999752044678,17
