Normal

A,w,eww,D,clickTime,currentNumberOfErrors
409.6,25.6,3,1,2.699000120162964,3
307.20000000000005,25.6,3,1,1.0799999237060547,3
204.8,25.6,3,1,0.877000093460083,3
204.8,25.6,3,1,1.065999984741211,3
307.20000000000005,25.6,3,1,1.1480000019073486,3
307.20000000000005,25.6,3,1,0.9879999160766602,3
409.6,25.6,3,1,2.1740000247955322,5
204.8,25.6,3,1,1.4110000133514404,5
409.6,25.6,3,1,1.0349998474121094,5
307.20000000000005,25.6,3,0.5,1.1160001754760742,5
409.6,25.6,3,0.5,1.0260000228881836,5
204.8,25.6,3,0.5,0.872999906539917,5
307.20000000000005,25.6,3,0.5,1.2290000915527344,5
307.20000000000005,25.6,3,0.5,2.047999858856201,6
409.6,25.6,3,0.5,1.0880000591278076,6
204.8,25.6,3,0.5,1.0339999198913574,6
409.6,25.6,3,0.5,0.9600000381469727,6
204.8,25.6,3,0.5,1.1649999618530273,6
204.8,25.6,3,0,0.9500000476837158,6
307.20000000000005,25.6,3,0,0.8540000915527344,6
307.20000000000005,25.6,3,0,0.8499999046325684,6
307.20000000000005,25.6,3,0,1.0369999408721924,6
409.6,25.6,3,0,0.9500000476837158,6
409.6,25.6,3,0,0.8229999542236328,6
409.6,25.6,3,0,1.00600004196167,6
204.8,25.6,3,0,0.7630000114440918,6
204.8,25.6,3,0,0.7450001239776611,6
204.8,25.6,2,1,0.869999885559082,6
409.6,25.6,2,1,1.0130000114440918,6
204.8,25.6,2,1,0.9049999713897705,6
409.6,25.6,2,1,1.0220000743865967,6
307.20000000000005,25.6,2,1,1.063999891281128,6
307.20000000000005,25.6,2,1,1.0350000858306885,6
204.8,25.6,2,1,0.7890000343322754,6
307.20000000000005,25.6,2,1,1.0349998474121094,6
409.6,25.6,2,1,1.124000072479248,6
409.6,25.6,2,0.5,0.8689999580383301,6
409.6,25.6,2,0.5,1.0889999866485596,6
307.20000000000005,25.6,2,0.5,0.7890000343322754,6
204.8,25.6,2,0.5,0.8830001354217529,6
204.8,25.6,2,0.5,0.9210000038146973,6
204.8,25.6,2,0.5,0.8859999179840088,6
307.20000000000005,25.6,2,0.5,1.8359999656677246,8
307.20000000000005,25.6,2,0.5,1.0880000591278076,8
409.6,25.6,2,0.5,1.569000005722046,9
204.8,25.6,2,0,0.937000036239624,9
409.6,25.6,2,0,0.8240001201629639,9
204.8,25.6,2,0,0.9679999351501465,9
307.20000000000005,25.6,2,0,1.7779998779296875,10
409.6,25.6,2,0,1.0499999523162842,10
409.6,25.6,2,0,1.065000057220459,10
307.20000000000005,25.6,2,0,0.9049999713897705,10
307.20000000000005,25.6,2,0,0.999000072479248,10
204.8,25.6,2,0,0.9470000267028809,10
204.8,25.6,1.33,1,0.809999942779541,10
307.20000000000005,25.6,1.33,1,1.1480000019073486,10
409.6,25.6,1.33,1,1.0380001068115234,10
307.20000000000005,25.6,1.33,1,1.003000020980835,10
307.20000000000005,25.6,1.33,1,0.9819998741149902,10
409.6,25.6,1.33,1,1.065000057220459,10
204.8,25.6,1.33,1,1.0299999713897705,10
204.8,25.6,1.33,1,1.0399999618530273,10
409.6,25.6,1.33,1,1.1089999675750732,10
409.6,25.6,1.33,0.5,1.002000093460083,10
307.20000000000005,25.6,1.33,0.5,0.9779999256134033,10
307.20000000000005,25.6,1.33,0.5,1.1790001392364502,10
307.20000000000005,25.6,1.33,0.5,0.9939999580383301,10
409.6,25.6,1.33,0.5,1.0450000762939453,10
204.8,25.6,1.33,0.5,1.1480000019073486,10
409.6,25.6,1.33,0.5,1.2069997787475586,10
204.8,25.6,1.33,0.5,1.1400001049041748,10
204.8,25.6,1.33,0.5,0.9409999847412109,10
307.20000000000005,25.6,1.33,0,0.9939999580383301,10
204.8,25.6,1.33,0,1.002000093460083,10
204.8,25.6,1.33,0,0.7879998683929443,10
409.6,25.6,1.33,0,0.9000000953674316,10
307.20000000000005,25.6,1.33,0,0.9530000686645508,10
409.6,25.6,1.33,0,0.9389998912811279,10
204.8,25.6,1.33,0,1.0120000839233398,10
307.20000000000005,25.6,1.33,0,0.7960000038146973,10
409.6,25.6,1.33,0,1.0499999523162842,10
307.20000000000005,19.200000000000003,3,1,1.0250000953674316,10
409.6,19.200000000000003,3,1,1.3989999294281006,10
204.8,19.200000000000003,3,1,0.9709999561309814,10
307.20000000000005,19.200000000000003,3,1,0.75,10
204.8,19.200000000000003,3,1,0.8570001125335693,10
307.20000000000005,19.200000000000003,3,1,0.8909997940063477,10
204.8,19.200000000000003,3,1,0.8040001392364502,10
409.6,19.200000000000003,3,1,1.065000057220459,10
409.6,19.200000000000003,3,1,0.8829998970031738,10
307.20000000000005,19.200000000000003,3,0.5,1.7260000705718994,11
307.20000000000005,19.200000000000003,3,0.5,1.063999891281128,11
409.6,19.200000000000003,3,0.5,0.9690001010894775,11
409.6,19.200000000000003,3,0.5,1.1299998760223389,11
204.8,19.200000000000003,3,0.5,0.9860000610351562,11
409.6,19.200000000000003,3,0.5,1.1619999408721924,11
204.8,19.200000000000003,3,0.5,0.8830001354217529,11
204.8,19.200000000000003,3,0.5,0.9179999828338623,11
307.20000000000005,19.200000000000003,3,0.5,1.750999927520752,12
409.6,19.200000000000003,3,0,0.9490001201629639,12
204.8,19.200000000000003,3,0,0.9189999103546143,12
307.20000000000005,19.200000000000003,3,0,1.059999942779541,12
307.20000000000005,19.200000000000003,3,0,0.749000072479248,12
204.8,19.200000000000003,3,0,0.8450000286102295,12
204.8,19.200000000000003,3,0,1.0139999389648438,12
409.6,19.200000000000003,3,0,1.0339999198913574,12
409.6,19.200000000000003,3,0,0.939000129699707,12
307.20000000000005,19.200000000000003,3,0,1.0369999408721924,12
204.8,19.200000000000003,2,1,0.9539999961853027,12
307.20000000000005,19.200000000000003,2,1,0.942000150680542,12
307.20000000000005,19.200000000000003,2,1,1.876999855041504,13
307.20000000000005,19.200000000000003,2,1,0.943000078201294,13
409.6,19.200000000000003,2,1,1.13100004196167,13
409.6,19.200000000000003,2,1,1.2019999027252197,13
204.8,19.200000000000003,2,1,1,13
409.6,19.200000000000003,2,1,1.2780001163482666,13
204.8,19.200000000000003,2,1,0.8789999485015869,13
409.6,19.200000000000003,2,0.5,0.9229998588562012,13
204.8,19.200000000000003,2,0.5,1.063000202178955,13
409.6,19.200000000000003,2,0.5,1.0449998378753662,13
204.8,19.200000000000003,2,0.5,1.5139999389648438,14
204.8,19.200000000000003,2,0.5,1.1180000305175781,14
307.20000000000005,19.200000000000003,2,0.5,1.067000150680542,14
409.6,19.200000000000003,2,0.5,1.0909998416900635,14
307.20000000000005,19.200000000000003,2,0.5,0.8970000743865967,14
307.20000000000005,19.200000000000003,2,0.5,1.181999921798706,14
204.8,19.200000000000003,2,0,1.0500001907348633,14
204.8,19.200000000000003,2,0,1.0109999179840088,14
409.6,19.200000000000003,2,0,0.9900000095367432,14
204.8,19.200000000000003,2,0,0.9549999237060547,14
409.6,19.200000000000003,2,0,0.9790000915527344,14
307.20000000000005,19.200000000000003,2,0,0.9159998893737793,14
307.20000000000005,19.200000000000003,2,0,0.9550001621246338,14
409.6,19.200000000000003,2,0,1.9709999561309814,16
307.20000000000005,19.200000000000003,2,0,1.113999843597412,16
204.8,19.200000000000003,1.33,1,1.7850000858306885,17
409.6,19.200000000000003,1.33,1,1.258000135421753,17
204.8,19.200000000000003,1.33,1,1.0149998664855957,17
307.20000000000005,19.200000000000003,1.33,1,1.6519999504089355,19
204.8,19.200000000000003,1.33,1,1.0789999961853027,19
307.20000000000005,19.200000000000003,1.33,1,1.1089999675750732,19
307.20000000000005,19.200000000000003,1.33,1,1.3240001201629639,19
409.6,19.200000000000003,1.33,1,1.0810000896453857,19
409.6,19.200000000000003,1.33,1,0.9749999046325684,19
307.20000000000005,19.200000000000003,1.33,0.5,1.0520000457763672,19
307.20000000000005,19.200000000000003,1.33,0.5,1.3899998664855957,19
409.6,19.200000000000003,1.33,0.5,1.1110000610351562,19
409.6,19.200000000000003,1.33,0.5,1.0899999141693115,19
307.20000000000005,19.200000000000003,1.33,0.5,1.2210001945495605,19
409.6,19.200000000000003,1.33,0.5,1.1529998779296875,19
204.8,19.200000000000003,1.33,0.5,1.0880000591278076,19
204.8,19.200000000000003,1.33,0.5,1.057999849319458,19
