Bubble

A,w,eww,D,clickTime,currentNumberOfErrors
204.8,25.6,3,1,5.115000009536743,4
409.6,25.6,3,1,1.1949999332427979,4
307.20000000000005,25.6,3,1,0.9720001220703125,4
409.6,25.6,3,1,1.0509998798370361,4
204.8,25.6,3,1,0.8330001831054688,4
307.20000000000005,25.6,3,1,1.0349998474121094,4
409.6,25.6,3,1,1.0290000438690186,4
307.20000000000005,25.6,3,1,0.9340000152587891,4
204.8,25.6,3,1,0.9419999122619629,4
307.20000000000005,25.6,3,0.5,1.0860002040863037,4
409.6,25.6,3,0.5,1.0929999351501465,4
204.8,25.6,3,0.5,1.065999984741211,4
409.6,25.6,3,0.5,0.878000020980835,4
409.6,25.6,3,0.5,1.2749998569488525,4
307.20000000000005,25.6,3,0.5,0.8610000610351562,4
204.8,25.6,3,0.5,0.9309999942779541,4
204.8,25.6,3,0.5,1.1640000343322754,4
307.20000000000005,25.6,3,0.5,0.9890000820159912,4
409.6,25.6,3,0,1.2649998664855957,4
307.20000000000005,25.6,3,0,1.1089999675750732,4
409.6,25.6,3,0,1.496000051498413,4
204.8,25.6,3,0,1.1159999370574951,4
204.8,25.6,3,0,1.1120002269744873,4
307.20000000000005,25.6,3,0,0.9749999046325684,4
307.20000000000005,25.6,3,0,1.2730000019073486,4
409.6,25.6,3,0,1.1349999904632568,4
204.8,25.6,3,0,0.8829998970031738,4
307.20000000000005,25.6,2,1,1.1110000610351562,4
307.20000000000005,25.6,2,1,1.2390000820159912,4
409.6,25.6,2,1,1.119999885559082,4
409.6,25.6,2,1,1.0529999732971191,4
307.20000000000005,25.6,2,1,1.2380001544952393,4
204.8,25.6,2,1,1.0069999694824219,4
409.6,25.6,2,1,1.4749999046325684,4
204.8,25.6,2,1,1.626000165939331,4
204.8,25.6,2,1,1.0209999084472656,4
307.20000000000005,25.6,2,0.5,1.0360000133514404,4
409.6,25.6,2,0.5,1.5889999866485596,4
409.6,25.6,2,0.5,0.9309999942779541,4
204.8,25.6,2,0.5,0.9149999618530273,4
409.6,25.6,2,0.5,1.305999994277954,4
307.20000000000005,25.6,2,0.5,1.0789999961853027,4
204.8,25.6,2,0.5,0.9210000038146973,4
204.8,25.6,2,0.5,1.1170001029968262,4
307.20000000000005,25.6,2,0.5,1.2000000476837158,4
204.8,25.6,2,0,1.2079999446868896,4
307.20000000000005,25.6,2,0,1.9270000457763672,4
409.6,25.6,2,0,1.0159997940063477,4
307.20000000000005,25.6,2,0,1.1530001163482666,4
409.6,25.6,2,0,1.2279999256134033,4
204.8,25.6,2,0,1.5250000953674316,4
204.8,25.6,2,0,0.9279999732971191,4
409.6,25.6,2,0,1.4869999885559082,4
307.20000000000005,25.6,2,0,2.4230000972747803,4
409.6,25.6,1.33,1,2.0909998416900635,5
204.8,25.6,1.33,1,1.1019999980926514,5
204.8,25.6,1.33,1,1.187000036239624,5
204.8,25.6,1.33,1,1.5290000438690186,5
307.20000000000005,25.6,1.33,1,1.3980000019073486,5
307.20000000000005,25.6,1.33,1,1.7649998664855957,5
409.6,25.6,1.33,1,1.8980000019073486,5
307.20000000000005,25.6,1.33,1,1.4100000858306885,5
409.6,25.6,1.33,1,1.7910001277923584,5
409.6,25.6,1.33,0.5,1.6899998188018799,5
204.8,25.6,1.33,0.5,1.192000150680542,5
307.20000000000005,25.6,1.33,0.5,1.494999885559082,5
307.20000000000005,25.6,1.33,0.5,1.1410000324249268,5
307.20000000000005,25.6,1.33,0.5,1.5429999828338623,5
204.8,25.6,1.33,0.5,1.246000051498413,5
409.6,25.6,1.33,0.5,1.1759998798370361,5
204.8,25.6,1.33,0.5,0.9660000801086426,5
409.6,25.6,1.33,0.5,1.1010000705718994,5
204.8,25.6,1.33,0,1.1180000305175781,5
409.6,25.6,1.33,0,1.238999843597412,5
409.6,25.6,1.33,0,0.9690001010894775,5
307.20000000000005,25.6,1.33,0,1.5290000438690186,5
409.6,25.6,1.33,0,1.3949999809265137,5
204.8,25.6,1.33,0,1.25,5
307.20000000000005,25.6,1.33,0,1.4019999504089355,5
204.8,25.6,1.33,0,1.127000093460083,5
307.20000000000005,25.6,1.33,0,1.6969997882843018,5
409.6,19.200000000000003,3,1,1.13100004196167,5
409.6,19.200000000000003,3,1,1.253000020980835,5
307.20000000000005,19.200000000000003,3,1,0.9820001125335693,5
409.6,19.200000000000003,3,1,1.3420000076293945,5
307.20000000000005,19.200000000000003,3,1,0.9769999980926514,5
307.20000000000005,19.200000000000003,3,1,1.0399999618530273,5
204.8,19.200000000000003,3,1,1.0490000247955322,5
204.8,19.200000000000003,3,1,0.9249999523162842,5
204.8,19.200000000000003,3,1,0.9519999027252197,5
204.8,19.200000000000003,3,0.5,1.005000114440918,5
204.8,19.200000000000003,3,0.5,0.9809999465942383,5
307.20000000000005,19.200000000000003,3,0.5,1.186000108718872,5
409.6,19.200000000000003,3,0.5,1.301999807357788,5
307.20000000000005,19.200000000000003,3,0.5,1.008000135421753,5
307.20000000000005,19.200000000000003,3,0.5,0.9900000095367432,5
409.6,19.200000000000003,3,0.5,1.2309999465942383,5
204.8,19.200000000000003,3,0.5,0.9130001068115234,5
409.6,19.200000000000003,3,0.5,1.0950000286102295,5
409.6,19.200000000000003,3,0,0.997999906539917,5
204.8,19.200000000000003,3,0,0.9000000953674316,5
307.20000000000005,19.200000000000003,3,0,1.055999994277954,5
307.20000000000005,19.200000000000003,3,0,1.0499999523162842,5
204.8,19.200000000000003,3,0,0.9839999675750732,5
307.20000000000005,19.200000000000003,3,0,1.0339999198913574,5
409.6,19.200000000000003,3,0,1.2290000915527344,5
204.8,19.200000000000003,3,0,1.0889999866485596,5
409.6,19.200000000000003,3,0,1.0820000171661377,5
409.6,19.200000000000003,2,1,1.190999984741211,5
204.8,19.200000000000003,2,1,0.9670000076293945,5
307.20000000000005,19.200000000000003,2,1,1.1110000610351562,5
307.20000000000005,19.200000000000003,2,1,0.9129998683929443,5
307.20000000000005,19.200000000000003,2,1,1.1070001125335693,5
204.8,19.200000000000003,2,1,1.0379998683929443,5
409.6,19.200000000000003,2,1,0.945000171661377,5
409.6,19.200000000000003,2,1,1.25,5
204.8,19.200000000000003,2,1,1.0829999446868896,5
204.8,19.200000000000003,2,0.5,1.500999927520752,5
204.8,19.200000000000003,2,0.5,0.8540000915527344,5
307.20000000000005,19.200000000000003,2,0.5,1.251999855041504,5
409.6,19.200000000000003,2,0.5,1.0759999752044678,5
307.20000000000005,19.200000000000003,2,0.5,1.3619999885559082,5
307.20000000000005,19.200000000000003,2,0.5,0.9600000381469727,5
409.6,19.200000000000003,2,0.5,1.1560001373291016,5
204.8,19.200000000000003,2,0.5,4.055999994277954,5
409.6,19.200000000000003,2,0.5,1.315999984741211,5
204.8,19.200000000000003,2,0,1.1369998455047607,5
307.20000000000005,19.200000000000003,2,0,1.125,5
307.20000000000005,19.200000000000003,2,0,1.0880000591278076,5
409.6,19.200000000000003,2,0,6.0290000438690186,6
409.6,19.200000000000003,2,0,2.2139999866485596,6
409.6,19.200000000000003,2,0,1.7400000095367432,6
204.8,19.200000000000003,2,0,1.3010001182556152,6
204.8,19.200000000000003,2,0,0.9779999256134033,6
307.20000000000005,19.200000000000003,2,0,1.2000000476837158,6
409.6,19.200000000000003,1.33,1,1.0230000019073486,6
409.6,19.200000000000003,1.33,1,2.9839999675750732,7
307.20000000000005,19.200000000000003,1.33,1,1.688999891281128,8
307.20000000000005,19.200000000000003,1.33,1,1.1770000457763672,8
409.6,19.200000000000003,1.33,1,1.3420000076293945,8
204.8,19.200000000000003,1.33,1,1.0260000228881836,8
204.8,19.200000000000003,1.33,1,1.0269999504089355,8
307.20000000000005,19.200000000000003,1.33,1,1.2860000133514404,8
204.8,19.200000000000003,1.33,1,1.130000114440918,8
307.20000000000005,19.200000000000003,1.33,0.5,0.9889998435974121,8
204.8,19.200000000000003,1.33,0.5,1.2009999752044678,8
307.20000000000005,19.200000000000003,1.33,0.5,1.5520000457763672,8
204.8,19.200000000000003,1.33,0.5,0.8610000610351562,8
409.6,19.200000000000003,1.33,0.5,1.0369999408721924,8
307.20000000000005,19.200000000000003,1.33,0.5,0.9909999370574951,8
409.6,19.200000000000003,1.33,0.5,2.257000207901001,9
409.6,19.200000000000003,1.33,0.5,1.191999912261963,9
204.8,19.200000000000003,1.33,0.5,1.3499999046325684,10
204.8,19.200000000000003,1.33,0,1.2420001029968262,10
307.20000000000005,19.200000000000003,1.33,0,1.2149999141693115,10
409.6,19.200000000000003,1.33,0,1.2239999771118164,10
204.8,19.200000000000003,1.33,0,1.2820000648498535,10
409.6,19.200000000000003,1.33,0,1.1400001049041748,10
307.20000000000005,19.200000000000003,1.33,0,1.125999927520752,10
409.6,19.200000000000003,1.33,0,1.194000005722046,10
204.8,19.200000000000003,1.33,0,1.0090000629425049,10
307.20000000000005,19.200000000000003,1.33,0,1.309000015258789,10
409.6,12.8,3,1,1.5989999771118164,10
204.8,12.8,3,1,1.184000015258789,10
307.20000000000005,12.8,3,1,0.994999885559082,10
409.6,12.8,3,1,1.8819999694824219,10
409.6,12.8,3,1,1.380000114440918,10
307.20000000000005,12.8,3,1,1.0799999237060547,10
204.8,12.8,3,1,1.0480000972747803,10
307.20000000000005,12.8,3,1,1.6439998149871826,10
204.8,12.8,3,1,0.9300000667572021,10
204.8,12.8,3,0.5,1.1770000457763672,10
307.20000000000005,12.8,3,0.5,1.3569998741149902,10
409.6,12.8,3,0.5,1.4639999866485596,10
204.8,12.8,3,0.5,1.132000207901001,10
307.20000000000005,12.8,3,0.5,1.0189998149871826,10
