Bubble

A,w,eww,D,clickTime,currentNumberOfErrors
307.20000000000005,25.6,3,1,0.6210000514984131,1
409.6,25.6,3,1,1.251999855041504,1
307.20000000000005,25.6,3,1,1.6730000972747803,1
204.8,25.6,3,1,1.430999994277954,2
204.8,25.6,3,1,0.9240000247955322,2
204.8,25.6,3,1,1.0859999656677246,2
409.6,25.6,3,1,0.9260001182556152,2
409.6,25.6,3,1,0.9210000038146973,2
307.20000000000005,25.6,3,1,0.9670000076293945,2
204.8,25.6,3,0.5,0.8420000076293945,2
409.6,25.6,3,0.5,1.0399999618530273,2
307.20000000000005,25.6,3,0.5,0.9600000381469727,2
204.8,25.6,3,0.5,0.7229998111724854,2
409.6,25.6,3,0.5,0.875,2
307.20000000000005,25.6,3,0.5,0.8690001964569092,2
409.6,25.6,3,0.5,0.7659997940063477,2
307.20000000000005,25.6,3,0.5,0.7790000438690186,2
204.8,25.6,3,0.5,0.809999942779541,2
307.20000000000005,25.6,3,0,1.2020001411437988,2
204.8,25.6,3,0,0.7569999694824219,2
204.8,25.6,3,0,0.7869999408721924,2
409.6,25.6,3,0,0.815000057220459,2
204.8,25.6,3,0,0.8569998741149902,2
307.20000000000005,25.6,3,0,1.628000020980835,2
409.6,25.6,3,0,1.123000144958496,2
409.6,25.6,3,0,1.371999979019165,3
307.20000000000005,25.6,3,0,1.0220000743865967,3
409.6,25.6,2,1,1.1639997959136963,3
204.8,25.6,2,1,1.6340000629425049,4
307.20000000000005,25.6,2,1,0.9149999618530273,4
204.8,25.6,2,1,0.9360001087188721,4
409.6,25.6,2,1,1.178999900817871,4
307.20000000000005,25.6,2,1,1.011000156402588,5
409.6,25.6,2,1,1.7099997997283936,6
307.20000000000005,25.6,2,1,1.0440001487731934,6
204.8,25.6,2,1,0.934999942779541,6
409.6,25.6,2,0.5,1.1200001239776611,6
204.8,25.6,2,0.5,1.4909999370574951,7
204.8,25.6,2,0.5,1.1410000324249268,7
307.20000000000005,25.6,2,0.5,1.2669999599456787,7
409.6,25.6,2,0.5,1.4249999523162842,7
307.20000000000005,25.6,2,0.5,0.9609999656677246,7
409.6,25.6,2,0.5,1.123000144958496,7
204.8,25.6,2,0.5,0.8869998455047607,7
307.20000000000005,25.6,2,0.5,0.8689999580383301,7
409.6,25.6,2,0,1.0130000114440918,7
409.6,25.6,2,0,1.380000114440918,7
409.6,25.6,2,0,1.5,8
307.20000000000005,25.6,2,0,2.1510000228881836,11
307.20000000000005,25.6,2,0,1.4179999828338623,11
204.8,25.6,2,0,0.9149999618530273,11
204.8,25.6,2,0,1.00600004196167,11
204.8,25.6,2,0,1.2279999256134033,11
307.20000000000005,25.6,2,0,0.7840001583099365,12
307.20000000000005,25.6,1.33,1,1.1399998664855957,12
409.6,25.6,1.33,1,1.059999942779541,12
409.6,25.6,1.33,1,0.9279999732971191,12
409.6,25.6,1.33,1,1.003000020980835,12
204.8,25.6,1.33,1,0.8550000190734863,12
204.8,25.6,1.33,1,1.2360000610351562,12
307.20000000000005,25.6,1.33,1,0.5260000228881836,12
204.8,25.6,1.33,1,1.875999927520752,13
307.20000000000005,25.6,1.33,1,1.1460001468658447,14
204.8,25.6,1.33,0.5,0.8469998836517334,14
204.8,25.6,1.33,0.5,1.7179999351501465,15
409.6,25.6,1.33,0.5,1.125,15
409.6,25.6,1.33,0.5,0.8630001544952393,15
307.20000000000005,25.6,1.33,0.5,2.115000009536743,17
409.6,25.6,1.33,0.5,0.9289999008178711,17
307.20000000000005,25.6,1.33,0.5,1.1100001335144043,17
204.8,25.6,1.33,0.5,1.1329998970031738,17
307.20000000000005,25.6,1.33,0.5,1.1540000438690186,18
307.20000000000005,25.6,1.33,0,1.0339999198913574,18
204.8,25.6,1.33,0,1.683000087738037,20
409.6,25.6,1.33,0,1.2349998950958252,20
409.6,25.6,1.33,0,2.124000072479248,22
307.20000000000005,25.6,1.33,0,1.2009999752044678,22
204.8,25.6,1.33,0,1.0739998817443848,22
409.6,25.6,1.33,0,1.3700001239776611,22
204.8,25.6,1.33,0,1.4800000190734863,23
307.20000000000005,25.6,1.33,0,1.5479998588562012,24
204.8,19.200000000000003,3,1,0.7010002136230469,24
204.8,19.200000000000003,3,1,1.1529998779296875,24
409.6,19.200000000000003,3,1,1.003999948501587,24
409.6,19.200000000000003,3,1,0.9290001392364502,24
307.20000000000005,19.200000000000003,3,1,0.9900000095367432,24
307.20000000000005,19.200000000000003,3,1,0.8629999160766602,24
204.8,19.200000000000003,3,1,0.7969999313354492,24
307.20000000000005,19.200000000000003,3,1,1.1540000438690186,24
409.6,19.200000000000003,3,1,1.253000020980835,25
409.6,19.200000000000003,3,0.5,0.8499999046325684,25
307.20000000000005,19.200000000000003,3,0.5,1.7070000171661377,26
409.6,19.200000000000003,3,0.5,0.9660000801086426,26
204.8,19.200000000000003,3,0.5,0.7599999904632568,26
204.8,19.200000000000003,3,0.5,0.7200000286102295,26
307.20000000000005,19.200000000000003,3,0.5,0.8680000305175781,26
409.6,19.200000000000003,3,0.5,0.7949998378753662,26
307.20000000000005,19.200000000000003,3,0.5,1.007000207901001,26
204.8,19.200000000000003,3,0.5,1.120999813079834,27
409.6,19.200000000000003,3,0,1.1490001678466797,28
204.8,19.200000000000003,3,0,0.6809999942779541,28
409.6,19.200000000000003,3,0,0.9609999656677246,28
204.8,19.200000000000003,3,0,1.5160000324249268,30
307.20000000000005,19.200000000000003,3,0,1.4149999618530273,31
307.20000000000005,19.200000000000003,3,0,0.8669998645782471,31
204.8,19.200000000000003,3,0,0.8070001602172852,31
409.6,19.200000000000003,3,0,1.0839998722076416,32
307.20000000000005,19.200000000000003,3,0,1.0180001258850098,32
409.6,19.200000000000003,2,1,0.8409998416900635,32
307.20000000000005,19.200000000000003,2,1,1.1410000324249268,33
409.6,19.200000000000003,2,1,0.8880000114440918,33
204.8,19.200000000000003,2,1,0.9960000514984131,33
307.20000000000005,19.200000000000003,2,1,1.0260000228881836,33
204.8,19.200000000000003,2,1,1.2720000743865967,34
307.20000000000005,19.200000000000003,2,1,1.3959999084472656,35
409.6,19.200000000000003,2,1,0.9590001106262207,35
204.8,19.200000000000003,2,1,0.9139997959136963,35
307.20000000000005,19.200000000000003,2,0.5,0.8490002155303955,35
409.6,19.200000000000003,2,0.5,0.9829998016357422,35
409.6,19.200000000000003,2,0.5,1.0099999904632568,35
409.6,19.200000000000003,2,0.5,1.5170001983642578,35
307.20000000000005,19.200000000000003,2,0.5,1.6059999465942383,36
204.8,19.200000000000003,2,0.5,1.5449998378753662,37
