Normal

A,w,eww,D,clickTime,currentNumberOfErrors
307.20000000000005,25.6,3,1,1.0959999561309814,2
307.20000000000005,25.6,3,1,1.0920000076293945,2
409.6,25.6,3,1,0.804999828338623,2
204.8,25.6,3,1,0.820000171661377,3
204.8,25.6,3,1,0.8669998645782471,3
409.6,25.6,3,1,1.4190001487731934,4
409.6,25.6,3,1,1.4830000400543213,4
307.20000000000005,25.6,3,1,1.2649998664855957,5
204.8,25.6,3,1,2.8410000801086426,8
409.6,25.6,3,0.5,0.9600000381469727,8
409.6,25.6,3,0.5,0.9900000095367432,8
204.8,25.6,3,0.5,2.1519999504089355,10
204.8,25.6,3,0.5,0.9219999313354492,10
409.6,25.6,3,0.5,1.0870001316070557,10
204.8,25.6,3,0.5,1.9279999732971191,12
307.20000000000005,25.6,3,0.5,0.9749999046325684,12
307.20000000000005,25.6,3,0.5,1.8659999370574951,14
307.20000000000005,25.6,3,0.5,1.0280001163482666,14
409.6,25.6,3,0,0.997999906539917,14
204.8,25.6,3,0,0.8459999561309814,14
204.8,25.6,3,0,1.058000087738037,15
307.20000000000005,25.6,3,0,0.869999885559082,15
204.8,25.6,3,0,0.8710000514984131,15
409.6,25.6,3,0,1.9800000190734863,16
307.20000000000005,25.6,3,0,0.9240000247955322,16
307.20000000000005,25.6,3,0,1.0120000839233398,17
409.6,25.6,3,0,0.8379998207092285,17
204.8,25.6,2,1,0.880000114440918,17
409.6,25.6,2,1,0.934999942779541,17
409.6,25.6,2,1,0.9340000152587891,17
307.20000000000005,25.6,2,1,2.1059999465942383,20
307.20000000000005,25.6,2,1,1.6019999980926514,21
307.20000000000005,25.6,2,1,0.8389999866485596,21
204.8,25.6,2,1,1,21
204.8,25.6,2,1,0.6760001182556152,21
409.6,25.6,2,1,1.4900000095367432,22
204.8,25.6,2,0.5,3.1579999923706055,25
307.20000000000005,25.6,2,0.5,2.6600000858306885,27
204.8,25.6,2,0.5,1.3399999141693115,28
307.20000000000005,25.6,2,0.5,0.8629999160766602,28
409.6,25.6,2,0.5,1.0800001621246338,28
409.6,25.6,2,0.5,1.7839999198913574,30
204.8,25.6,2,0.5,0.9460000991821289,30
307.20000000000005,25.6,2,0.5,1.6079998016357422,31
409.6,25.6,2,0.5,1.4000000953674316,32
409.6,25.6,2,0,1.2880001068115234,33
204.8,25.6,2,0,0.9779999256134033,33
204.8,25.6,2,0,0.7950000762939453,33
307.20000000000005,25.6,2,0,0.9440000057220459,33
307.20000000000005,25.6,2,0,0.9759998321533203,33
409.6,25.6,2,0,1.0529999732971191,33
204.8,25.6,2,0,0.7920000553131104,33
409.6,25.6,2,0,1.5529999732971191,34
307.20000000000005,25.6,2,0,1.8389999866485596,36
204.8,25.6,1.33,1,0.874000072479248,36
204.8,25.6,1.33,1,0.7829999923706055,36
409.6,25.6,1.33,1,0.9330000877380371,36
409.6,25.6,1.33,1,1.9479999542236328,37
409.6,25.6,1.33,1,1.0780000686645508,37
204.8,25.6,1.33,1,1.1489999294281006,38
307.20000000000005,25.6,1.33,1,0.8489999771118164,38
307.20000000000005,25.6,1.33,1,0.9570000171661377,38
307.20000000000005,25.6,1.33,1,1.0099999904632568,38
307.20000000000005,25.6,1.33,0.5,1.3899998664855957,39
409.6,25.6,1.33,0.5,0.9090001583099365,39
409.6,25.6,1.33,0.5,0.8769998550415039,39
204.8,25.6,1.33,0.5,0.8980000019073486,39
307.20000000000005,25.6,1.33,0.5,1.558000087738037,40
