Normal

A,w,eww,D,clickTime,currentNumberOfErrors
409.6,25.6,3,1,1.189000129699707,2
307.20000000000005,25.6,3,1,1.7829999923706055,3
307.20000000000005,25.6,3,1,1.3489999771118164,3
409.6,25.6,3,1,1.2579998970031738,3
204.8,25.6,3,1,1.062000036239624,3
204.8,25.6,3,1,1.1500000953674316,3
204.8,25.6,3,1,1.059000015258789,3
409.6,25.6,3,1,1.1019999980926514,3
307.20000000000005,25.6,3,1,1.807999849319458,4
307.20000000000005,25.6,3,0.5,1.070000171661377,4
409.6,25.6,3,0.5,1.5879998207092285,4
409.6,25.6,3,0.5,1.1720001697540283,4
204.8,25.6,3,0.5,1.5909998416900635,4
307.20000000000005,25.6,3,0.5,1.315000057220459,4
204.8,25.6,3,0.5,1.247999906539917,4
409.6,25.6,3,0.5,1.073000192642212,4
204.8,25.6,3,0.5,0.9059998989105225,4
307.20000000000005,25.6,3,0.5,1.2079999446868896,4
204.8,25.6,3,0,1.3489999771118164,5
204.8,25.6,3,0,1.1050000190734863,5
409.6,25.6,3,0,1.1470000743865967,5
307.20000000000005,25.6,3,0,0.8420000076293945,5
409.6,25.6,3,0,1.2779998779296875,5
204.8,25.6,3,0,1.6220002174377441,7
307.20000000000005,25.6,3,0,1.0209999084472656,7
409.6,25.6,3,0,1.1389999389648438,7
307.20000000000005,25.6,3,0,1.1449999809265137,7
409.6,25.6,2,1,1.2020001411437988,7
204.8,25.6,2,1,1.0230000019073486,7
204.8,25.6,2,1,0.8889999389648438,7
307.20000000000005,25.6,2,1,2.2920000553131104,8
204.8,25.6,2,1,0.9229998588562012,8
409.6,25.6,2,1,1,8
307.20000000000005,25.6,2,1,1.133000135421753,8
307.20000000000005,25.6,2,1,1.2579998970031738,9
409.6,25.6,2,1,1.2060000896453857,9
307.20000000000005,25.6,2,0.5,1.5230000019073486,10
307.20000000000005,25.6,2,0.5,1.182999849319458,10
204.8,25.6,2,0.5,1.8930001258850098,11
409.6,25.6,2,0.5,1.36899995803833,11
409.6,25.6,2,0.5,1.190000057220459,11
307.20000000000005,25.6,2,0.5,1.13100004196167,11
204.8,25.6,2,0.5,1.2059998512268066,11
204.8,25.6,2,0.5,1.2009999752044678,11
409.6,25.6,2,0.5,1.2020001411437988,11
409.6,25.6,2,0,1.2400000095367432,11
204.8,25.6,2,0,0.9939999580383301,11
307.20000000000005,25.6,2,0,1.253999948501587,12
409.6,25.6,2,0,1.071000099182129,12
204.8,25.6,2,0,0.8689999580383301,12
307.20000000000005,25.6,2,0,1.0720000267028809,12
409.6,25.6,2,0,1.5360000133514404,13
204.8,25.6,2,0,0.9800000190734863,13
307.20000000000005,25.6,2,0,0.9849998950958252,13
307.20000000000005,25.6,1.33,1,0.9590001106262207,13
307.20000000000005,25.6,1.33,1,1.0929999351501465,13
204.8,25.6,1.33,1,0.8980000019073486,13
204.8,25.6,1.33,1,1.1579999923706055,13
409.6,25.6,1.33,1,1.053999900817871,13
409.6,25.6,1.33,1,0.9509999752044678,13
409.6,25.6,1.33,1,1.2120001316070557,13
204.8,25.6,1.33,1,1.1670000553131104,13
307.20000000000005,25.6,1.33,1,1.1409997940063477,13
204.8,25.6,1.33,0.5,2.1030001640319824,15
307.20000000000005,25.6,1.33,0.5,1.0720000267028809,15
307.20000000000005,25.6,1.33,0.5,1.2100000381469727,15
204.8,25.6,1.33,0.5,1.496999979019165,16
409.6,25.6,1.33,0.5,0.9649999141693115,16
307.20000000000005,25.6,1.33,0.5,1.2090001106262207,16
409.6,25.6,1.33,0.5,1.1679999828338623,16
204.8,25.6,1.33,0.5,1.1929998397827148,16
409.6,25.6,1.33,0.5,1.0180001258850098,16
307.20000000000005,25.6,1.33,0,1.0260000228881836,16
204.8,25.6,1.33,0,0.9670000076293945,16
409.6,25.6,1.33,0,1.1949999332427979,16
307.20000000000005,25.6,1.33,0,1.1299998760223389,16
307.20000000000005,25.6,1.33,0,0.9820001125335693,16
409.6,25.6,1.33,0,1.4089999198913574,16
204.8,25.6,1.33,0,0.9609999656677246,16
409.6,25.6,1.33,0,1.8949999809265137,17
204.8,25.6,1.33,0,0.940000057220459,17
204.8,19.200000000000003,3,1,1.7120001316070557,17
204.8,19.200000000000003,3,1,1.9830000400543213,19
204.8,19.200000000000003,3,1,1.242999792098999,19
307.20000000000005,19.200000000000003,3,1,1.621999979019165,20
409.6,19.200000000000003,3,1,1.258000135421753,20
409.6,19.200000000000003,3,1,1.062999963760376,20
307.20000000000005,19.200000000000003,3,1,1.1129999160766602,20
409.6,19.200000000000003,3,1,1.569000005722046,21
307.20000000000005,19.200000000000003,3,1,1.0350000858306885,21
204.8,19.200000000000003,3,0.5,1.7869999408721924,22
307.20000000000005,19.200000000000003,3,0.5,1.246000051498413,22
204.8,19.200000000000003,3,0.5,0.9700000286102295,22
409.6,19.200000000000003,3,0.5,1.5399999618530273,23
204.8,19.200000000000003,3,0.5,1.1510000228881836,23
409.6,19.200000000000003,3,0.5,1.2809998989105225,23
307.20000000000005,19.200000000000003,3,0.5,1.4160001277923584,23
409.6,19.200000000000003,3,0.5,1.8870000839233398,23
307.20000000000005,19.200000000000003,3,0.5,2.053999900817871,24
204.8,19.200000000000003,3,0,1.5260000228881836,25
409.6,19.200000000000003,3,0,1.2879998683929443,25
307.20000000000005,19.200000000000003,3,0,1.067000150680542,25
307.20000000000005,19.200000000000003,3,0,1.187000036239624,25
409.6,19.200000000000003,3,0,0.8439998626708984,25
204.8,19.200000000000003,3,0,0.937000036239624,25
204.8,19.200000000000003,3,0,0.9470000267028809,25
307.20000000000005,19.200000000000003,3,0,1.3250000476837158,26
409.6,19.200000000000003,3,0,1.0290000438690186,26
307.20000000000005,19.200000000000003,2,1,0.8939998149871826,26
204.8,19.200000000000003,2,1,0.9490001201629639,26
307.20000000000005,19.200000000000003,2,1,0.9900000095367432,26
204.8,19.200000000000003,2,1,1.2719998359680176,26
409.6,19.200000000000003,2,1,1.0130000114440918,26
204.8,19.200000000000003,2,1,1.1510000228881836,26
409.6,19.200000000000003,2,1,1.4500000476837158,26
307.20000000000005,19.200000000000003,2,1,1.121999979019165,26
409.6,19.200000000000003,2,1,1.0789999961853027,26
307.20000000000005,19.200000000000003,2,0.5,1.1510000228881836,26
409.6,19.200000000000003,2,0.5,2.2750000953674316,27
409.6,19.200000000000003,2,0.5,1.2209999561309814,27
204.8,19.200000000000003,2,0.5,1.1679999828338623,27
204.8,19.200000000000003,2,0.5,1.7739999294281006,28
409.6,19.200000000000003,2,0.5,1.314000129699707,28
204.8,19.200000000000003,2,0.5,1.428999900817871,28
307.20000000000005,19.200000000000003,2,0.5,1.38100004196167,29
307.20000000000005,19.200000000000003,2,0.5,0.9849998950958252,29
307.20000000000005,19.200000000000003,2,0,1.2010002136230469,29
204.8,19.200000000000003,2,0,1.1629998683929443,29
307.20000000000005,19.200000000000003,2,0,1.4690001010894775,29
204.8,19.200000000000003,2,0,1.3329999446868896,29
409.6,19.200000000000003,2,0,1.1670000553131104,29
307.20000000000005,19.200000000000003,2,0,1.0929999351501465,29
409.6,19.200000000000003,2,0,2.0920000076293945,30
204.8,19.200000000000003,2,0,0.937000036239624,30
409.6,19.200000000000003,2,0,0.9819998741149902,30
307.20000000000005,19.200000000000003,1.33,1,1.068000078201294,30
307.20000000000005,19.200000000000003,1.33,1,1.5780000686645508,31
204.8,19.200000000000003,1.33,1,0.878000020980835,31
204.8,19.200000000000003,1.33,1,1.4579999446868896,31
307.20000000000005,19.200000000000003,1.33,1,1.062999963760376,31
409.6,19.200000000000003,1.33,1,1.6449999809265137,32
204.8,19.200000000000003,1.33,1,0.934999942779541,32
409.6,19.200000000000003,1.33,1,1.0450000762939453,32
409.6,19.200000000000003,1.33,1,1.1549999713897705,32
307.20000000000005,19.200000000000003,1.33,0.5,1.4720001220703125,32
204.8,19.200000000000003,1.33,0.5,1.2839999198913574,32
409.6,19.200000000000003,1.33,0.5,1.5929999351501465,33
204.8,19.200000000000003,1.33,0.5,1.2009999752044678,33
204.8,19.200000000000003,1.33,0.5,1.3219997882843018,33
307.20000000000005,19.200000000000003,1.33,0.5,1.253000020980835,33
307.20000000000005,19.200000000000003,1.33,0.5,1.1460001468658447,33
409.6,19.200000000000003,1.33,0.5,1.2009999752044678,33
409.6,19.200000000000003,1.33,0.5,1.2799999713897705,33
307.20000000000005,19.200000000000003,1.33,0,1.5759999752044678,33
307.20000000000005,19.200000000000003,1.33,0,1.0699999332427979,33
204.8,19.200000000000003,1.33,0,0.882000207901001,33
204.8,19.200000000000003,1.33,0,0.7549998760223389,33
204.8,19.200000000000003,1.33,0,0.9519999027252197,33
409.6,19.200000000000003,1.33,0,1.1110000610351562,33
307.20000000000005,19.200000000000003,1.33,0,0.9609999656677246,33
409.6,19.200000000000003,1.33,0,1.13100004196167,33
409.6,19.200000000000003,1.33,0,1,33
204.8,12.8,3,1,1.0720000267028809,33
307.20000000000005,12.8,3,1,1.0959999561309814,33
307.20000000000005,12.8,3,1,1.4679999351501465,33
409.6,12.8,3,1,1.0870001316070557,33
409.6,12.8,3,1,1.3559999465942383,33
307.20000000000005,12.8,3,1,1.2000000476837158,33
409.6,12.8,3,1,1.8880000114440918,34
204.8,12.8,3,1,1.5789999961853027,34
204.8,12.8,3,1,1.246999979019165,34
307.20000000000005,12.8,3,0.5,2.7669999599456787,35
204.8,12.8,3,0.5,1.0399999618530273,35
409.6,12.8,3,0.5,1.5460000038146973,35
307.20000000000005,12.8,3,0.5,1.0789999961853027,35
307.20000000000005,12.8,3,0.5,1.0540001392364502,35
409.6,12.8,3,0.5,1.2360000610351562,35
204.8,12.8,3,0.5,1.1519999504089355,35
204.8,12.8,3,0.5,0.8359999656677246,35
409.6,12.8,3,0.5,2.434999942779541,36
307.20000000000005,12.8,3,0,2.258000135421753,37
