Normal

A,w,eww,D,clickTime,currentNumberOfErrors
204.8,25.6,3,1,1.4670000076293945,2
204.8,25.6,3,1,1.9509999752044678,2
307.20000000000005,25.6,3,1,1.9140000343322754,2
204.8,25.6,3,1,1.252000093460083,2
307.20000000000005,25.6,3,1,1.565999984741211,2
409.6,25.6,3,1,1.7839999198913574,3
409.6,25.6,3,1,1.184000015258789,3
307.20000000000005,25.6,3,1,1.616999864578247,3
409.6,25.6,3,1,1.5,3
307.20000000000005,25.6,3,0.5,2.2140002250671387,4
409.6,25.6,3,0.5,2.1669998168945312,4
307.20000000000005,25.6,3,0.5,1.318000078201294,4
409.6,25.6,3,0.5,1.3670001029968262,4
204.8,25.6,3,0.5,1.9649999141693115,5
204.8,25.6,3,0.5,1.7000000476837158,5
307.20000000000005,25.6,3,0.5,1.1989998817443848,5
204.8,25.6,3,0.5,2.302999973297119,5
409.6,25.6,3,0.5,2.131999969482422,5
307.20000000000005,25.6,3,0,1.5329999923706055,5
204.8,25.6,3,0,1.0990002155303955,5
307.20000000000005,25.6,3,0,1.3659999370574951,5
204.8,25.6,3,0,1.0349998474121094,5
409.6,25.6,3,0,1.1990001201629639,5
307.20000000000005,25.6,3,0,1.8339998722076416,6
409.6,25.6,3,0,1.2840001583099365,6
409.6,25.6,3,0,1.4500000476837158,6
204.8,25.6,3,0,1.9159998893737793,6
204.8,25.6,2,1,1.5350000858306885,6
204.8,25.6,2,1,2.0809998512268066,6
307.20000000000005,25.6,2,1,2.0880000591278076,6
409.6,25.6,2,1,1.7810001373291016,6
307.20000000000005,25.6,2,1,2.049999952316284,6
204.8,25.6,2,1,2.2829999923706055,6
409.6,25.6,2,1,1.565999984741211,6
409.6,25.6,2,1,1.816999912261963,6
307.20000000000005,25.6,2,1,1.6500000953674316,6
409.6,25.6,2,0.5,1.432999849319458,6
204.8,25.6,2,0.5,3.2340002059936523,6
307.20000000000005,25.6,2,0.5,1.6319999694824219,6
307.20000000000005,25.6,2,0.5,1.5679998397827148,6
409.6,25.6,2,0.5,1.4320001602172852,6
409.6,25.6,2,0.5,1.3499999046325684,6
204.8,25.6,2,0.5,1.4830000400543213,6
204.8,25.6,2,0.5,1.499000072479248,6
